RAA20150224201502234418010840000サラ系一般　Ｃ２七八　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２七八サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001616161040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,9,13,11,4,6,16,(1,3),14,15,7,12,2,8,10                              205,9,13,11,4,6,16,1,3,14,15,12,7,2,10,8                                305,(9,11),3,4,(6,13),14,15,1,12,16,7,10,2,8                            405,11,9,3,4,14,6,(13,15),12,7,1,10,(2,16),8                            0
RAA20150226201502254418031160000フジノウェーブ記念　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FUJINO WAVE KINEN                                                                                                                                                                                                                                                                                                                                                       フジノウェーブ記念　フジノウェーフジノ0000D 140002000000000000000サラ系４歳上　ＯＰ　　　　　　　　　　　　　　　　　　　　　140000002400    0013000000045500000260000001300000006500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001615151030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000206,10,11,1,(2,4),5,15,8,16,14,13,12,(3,9)                              30(6,10),11,2,4,5,1,16,(3,8,15),12,13,14,9                              40(6,10,11),4,2,5,1,16,(8,15),3,(12,13),14,9                            00                                                                      0
RAA20150227201502264418041270000寒梅賞　Ａ２Ｂ１一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          寒梅賞　Ａ２Ｂ１一　寒梅賞　Ａ２寒梅賞0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0004600000013800000092000000552000003680000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414143040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,7,11,12,2,(3,8),(9,14),4,1,10,6,13                                  205,7,11,12,2,3,8,1,9,4,14,10,6,13                                      305,(7,11),12,3,2,1,14,8,4,9,10,6,13                                    405,11,12,3,2,14,(1,7),4,9,8,6,10,13                                    0
RAA20150205201502044417030960000選抜　Ｃ２三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     選抜　Ｃ２三　　　　選抜　Ｃ２三選抜　0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001616161010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000305,9,10,(2,3),11,(1,7,12),8,4,15,(6,16),13,14                          405,9,10,(2,3),11,(1,7),12,8,4,15,13,6,(14,16)                          00                                                                      00                                                                      0
RAA20150225201502244418021050000余寒特別　Ｃ２三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          余寒特別　Ｃ２三　　余寒特別　Ｃ余寒特0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0001700000005100000034000000204000001360000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001616162040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000301,15,11,(4,10,13),5,12,7,6,14,8,3,16,9,2                              401,15,11,13,4,10,5,12,6,7,14,8,(3,16),2,9                              00                                                                      00                                                                      0
RAA20150203201502024417010940000サラ系一般　Ｃ２四五六　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２四五サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    00010000000030000000180000001200000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000016161610200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001016,9,11,15,1,5,6,2,4,7,14,12,3,10,8,13                                2016,9,11,1,15,5,6,2,4,7,14,12,3,10,13,8                                3016,9,11,(4,5,15),6,1,12,(2,7),14,3,10,13,8                            4016,9,4,11,5,6,15,12,(1,2,7),14,(3,10,13),8                            0
RAA20150224201502234418010740000サラ系一般　Ｃ２七八　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２七八サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001515151040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000301,2,6,8,7,9,11,(3,12),5,13,15,4,10,14                                 40(2,6),1,8,7,9,12,3,(5,11),4,15,(10,13),14                             00                                                                      00                                                                      0
RAA20150224201502234418011040000春時雨賞　Ｃ２五六　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     春時雨賞　Ｃ２五六　春時雨賞　Ｃ春時雨0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001515151040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,3,8,9,5,13,14,10,4,15,(1,12),7,6,11                                 202,3,8,9,5,13,(4,14),10,15,(1,12),7,6,11                               302,8,9,13,14,3,5,10,4,15,(7,12),11,6,1                                 40(8,9),2,13,14,(4,10),11,(5,7),15,3,12,6,1                             0
RAA20150206201502054417040970000サラ系一般　Ｃ１四五　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１四五サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0001300000003900000023400000156000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001616163020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,4,7,10,13,1,16,14,2,11,15,5,9,6,12,8                                203,4,7,10,1,13,14,16,2,11,15,5,9,6,12,8                                307,3,(4,10,13),14,(2,11,16),1,15,(6,9),5,12,8                          40(3,7),(10,13),4,14,2,(6,11),16,15,9,1,5,12,8                          0
RAA20150226201502254418030960000サラ系一般　Ｂ３三Ｃ１四　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｂ３三Ｃサラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    000160000000480000002880000019200000160000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000161616203000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(3,4),5,9,2,11,6,(12,13),14,7,15,1,16,10,8                            203,4,5,2,9,11,6,(12,13),(1,7),14,15,10,16,8                            304,5,11,9,14,3,13,6,2,7,(1,12,15),10,16,8                              40(4,5),11,9,13,6,3,(1,14),7,(10,12),2,15,8,16                          0
