UM12004020219781000291198003211980070919780330エリモプリンス　　　　　　　　　　　ｴﾘﾓﾌﾟﾘﾝｽ                                                                                        0                   03110411200243エリモオー　　　　　　　　　　　　　12211093エースプリンシパル　　　　　　　　　11300054Sir Ivor                            12107611インピユーデント　　　　　　　　　　11100931プリンシパルボーイ　　　　　　　　　12107875シルリアン　　　　　　　　　　　　　11300055Sir Gaylord                         12302534Attica                              11300522Owen Tudor                          12301137Saucy Lass                          11100928プリメラ　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11100073タカクラヤマ　　　　　　　　　　　　12102030アサカゼ　　　　　　　　　　　　　　200125上田三千　　　　　　　　　　500404小林　良助　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　熊本県　　　　　　　603003山本　慎一　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219781000321198003211980081119780418エースホワイト　　　　　　　　　　　ｴｰｽﾎﾜｲﾄ                                                                                         0                   03110411200243エリモオー　　　　　　　　　　　　　12211799ホワイトスネーク　　　　　　　　　　11300054Sir Ivor                            12107611インピユーデント　　　　　　　　　　11100806ニルコス　　　　　　　　　　　　　　12107338ハーバードウヤ　　　　　　　　　　　11300055Sir Gaylord                         12302534Attica                              11300522Owen Tudor                          12301137Saucy Lass                          11301148La Varende                          00000000　　　　　　　　　　　　　　　　　　11100565ラヴアンダン　　　　　　　　　　　　12103877ニシサン　　　　　　　　　　　　　　200125上田三千　　　　　　　　　　100404江藤　正幸　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　熊本県　　　　　　　101005増田　房二　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419781006251198002291983071719780406イワキダンサー　　　　　　　　　　　ｲﾜｷﾀﾞﾝｻｰ                            Iwaki Dancer(JPN)                                           0                   03110111200320ナオキ　　　　　　　　　　　　　　　12206705サンミシエル　　　　　　　　　　　　11100730サウンドトラツク　　　　　　　　　　12105719エイトクラウン　　　　　　　　　　　11100817ウエツデイングプレゼント　　　　　　12101205サンドラ　　　　　　　　　　　　　　11300709Whistler                            00000000　　　　　　　　　　　　　　　　　　11100263ヒンドスタン　　　　　　　　　　　　12102076アルペンローザ　　　　　　　　　　　11300463Macherio                            00000000　　　　　　　　　　　　　　　　　　11300679Treasure Hunt                       12302381Dinah Dhu                           200110池江泰郎　　　　　　　　　　700023築紫　芳雄　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　三石町　　　　　　　933009木越　保晴　　　　　　　　　　　　　　　　　　　　　　　　　　　000372100000000000000001922000000000000060500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219781006291198010031981121619780530リマンドダンサー　　　　　　　　　　ﾘﾏﾝﾄﾞﾀﾞﾝｻｰ                          Remand Dancer(JPN)                                          0                   00110311100960リマンド　　　　　　　　　　　　　　12108951ダイアンサス　　　　　　　　　　　　11300010Alcide                              00000000　　　　　　　　　　　　　　　　　　11100576パーソロン　　　　　　　　　　　　　12102936ラベンダー　　　　　　　　　　　　　11300197Alycidon                            12300289Chenille                            00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300150Milesian                            00000000　　　　　　　　　　　　　　　　　　11100305アドミラルバード　　　　　　　　　　12101569ハクウン　　　　　　　　　　　　　　100138大久保洋　　　　　　　　　　300021土田　樵　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　三石町　　　　　　　898005大原　詔宏　　　　　　　　　　　　　　　　　　　　　　　　　　　000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419781006311198004231983052619780502フウリンランバー　　　　　　　　　　ﾌｳﾘﾝﾗﾝﾊﾞｰ                           Furin Lumber(JPN)                                           0                   00110311100866バーバー　　　　　　　　　　　　　　12212100ヤノセイラン　　　　　　　　　　　　11300558Princely Gift                       00000000　　　　　　　　　　　　　　　　　　11101069タニノムーテイエ　　　　　　　　　　12108288レデイロツク　　　　　　　　　　　　11300493Nasrullah                           12400343Blue Gem                            00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11100689ムーテイエ　　　　　　　　　　　　　12104612タニノチエリ　　　　　　　　　　　　11100457チヤイナロツク　　　　　　　　　　　12102815レデイアリス　　　　　　　　　　　　100138大久保洋　　　　　　　　　　300021土田　樵　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　三石町　　　　　　　082009風間　栄輔　　　　　　　　　　　　　　　　　　　　　　　　　　　000131500000000000000000616000000000000034500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219781006341198001281981022619780526タニノイーグル　　　　　　　　　　　ﾀﾆﾉｲｰｸﾞﾙ                            Tanino Eagle(JPN)                                           0                   00110411200352ハーデイカヌート　　　　　　　　　　12108588ミヤコツバキ　　　　　　　　　　　　11100800ハードリドン　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11100056リンボー　　　　　　　　　　　　　　12103240ミスオウゴン　　　　　　　　　　　　11300105Hard Sauce                          00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300703War Admiral                         00000000　　　　　　　　　　　　　　　　　　11100195シマタカ　　　　　　　　　　　　　　12100536北蘭　　　　　　　　　　　　　　　　200197島崎宏　　　　　　　　　　　100021土田　昭司　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　三石町　　　　　　　765001谷水　初子　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419781006551198312221985030219780430フレンチカヌート　　　　　　　　　　ﾌﾚﾝﾁｶﾇｰﾄ                            French Canute(JPN)                                          0                   05110311200352ハーデイカヌート　　　　　　　　　　12104033トースイ　　　　　　　　　　　　　　11100800ハードリドン　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11100341フアイナルスコア　　　　　　　　　　12100880ツキカワ　　　　　　　　　　　　　　11300105Hard Sauce                          00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11301078Balloch                             00000000　　　　　　　　　　　　　　　　　　11100096月友　　　　　　　　　　　　　　　　12100569波川　　　　　　　　　　　　　　　　100299前田禎　　　　　　　　　　　200021土居　唯男　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　三石町　　　　　　　623003樋口　和弘　　　　　　　　　　　　　　　　　　　　　　　　　　　000012000000000000000000000000000000000054000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419781006681198004011982122319780501ノトスーホー　　　　　　　　　　　　ﾉﾄｽｰﾎｰ                              Noto Suho(JPN)                                              0                   00110311101013フアバージ　　　　　　　　　　　　　12106864シンミツル　　　　　　　　　　　　　11300558Princely Gift                       12302536Spring Offensive                    11100458テイエポロ　　　　　　　　　　　　　12101936ミツル　　　　　　　　　　　　　　　11300493Nasrullah                           12400343Blue Gem                            11400283Legend of France                    12400238Batika                              11300241Blue Peter                          00000000　　　　　　　　　　　　　　　　　　11100052グレーロード　　　　　　　　　　　　12100029銀勝　　　　　　　　　　　　　　　　200158北橋修二　　　　　　　　　　400025仲野牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　三石町　　　　　　　445800能登　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　000080600000000000000000376000000000000019500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419781006691198312281985013119780530モナコセンプー　　　　　　　　　　　ﾓﾅｺｾﾝﾌﾟｰ                            Monaco Sempu(JPN)                                           0                   05110111200161ザペイシエント　　　　　　　　　　　12201489フオウフエン　　　　　　　　　　　　11300247Bold Ruler                          00000000　　　　　　　　　　　　　　　　　　11300362Faux Tirage                         12301557Sheltered                           11300493Nasrullah                           12401871Miss Disco                          00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300235Big Game                            12400607Commotion                           11301479Boissier                            12404138Rising Tide                         200230田中四郎　　　　　　　　　　400025仲野牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　三石町　　　　　　　308004大沢　毅　　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000095000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219781006701198007181981013119780313ヒシアコード　　　　　　　　　　　　ﾋｼｱｺｰﾄﾞ                             Hishi Accord(JPN)                                           0                   03110311100938ヒシマサヒデ　　　　　　　　　　　　12204901ヒシアオゾラ　　　　　　　　　　　　11100486ヒシマサル　　　　　　　　　　　　　12102339ハルヒメ　　　　　　　　　　　　　　11100680タマナー　　　　　　　　　　　　　　12107576ヒシエリコ　　　　　　　　　　　　　11100079ライジングフレーム　　　　　　　　　12100910カツター　　　　　　　　　　　　　　11100150ブラツクウヰング　　　　　　　　　　12101446ベリストリーム　　　　　　　　　　　11300637Sunny Boy                           00000000　　　　　　　　　　　　　　　　　　11100492ロイヤルチヤレンヂヤー　　　　　　　12101488シスコスター　　　　　　　　　　　　100164久保田敏　　　　　　　　　　500025中橋　栄吉　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　三石町　　　　　　　712004阿部　雅一郎　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219781006791198004281981091119780426エビスライジン　　　　　　　　　　　ｴﾋﾞｽﾗｲｼﾞﾝ                           Ebisu Raijin(JPN)                                           0                   00110211100894マリーノ　　　　　　　　　　　　　　12210742スカイハード　　　　　　　　　　　　11300176Worden                              00000000　　　　　　　　　　　　　　　　　　11200074スカイマスター　　　　　　　　　　　12103818エバートツプ　　　　　　　　　　　　11300177Wild Risk                           12402532Sans Tares                          00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300386Golden Cloud                        00000000　　　　　　　　　　　　　　　　　　11100361ソロナウエー　　　　　　　　　　　　12101558ラ・フウドル　　　　　　　　　　　　200244鶴留明雄　　　　　　　　　　800025中村　充信　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　三石町　　　　　　　064800エビス　　　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219781006941198005271981030619780323パッショナータ　　　　　　　　　　　ﾊﾟｯｼｮﾅｰﾀ                            Passionata(JPN)                                             0                   01110111200362シリコーン　　　　　　　　　　　　　12106363アクセル　　　　　　　　　　　　　　11300558Princely Gift                       00000000　　　　　　　　　　　　　　　　　　11100499エイトラツクス　　　　　　　　　　　12101535ブランドピユーマ　　　　　　　　　　11300493Nasrullah                           12400343Blue Gem                            00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300539Pharis                              00000000　　　　　　　　　　　　　　　　　　11100016カツフジ　　　　　　　　　　　　　　12100311ヘーレンソール　　　　　　　　　　　100314宮沢今朝　　　　　　　　　　800029信田牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　三石町　　　　　　　659001山口　幸保　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219781006951198010031982022519780302イーストランサー　　　　　　　　　　ｲｰｽﾄﾗﾝｻｰ                            East Lancer(JPN)                                            0                   03110111200314コーネルランサー　　　　　　　　　　12207784イーストサイド　　　　　　　　　　　11100629セダン　　　　　　　　　　　　　　　12103990エオス　　　　　　　　　　　　　　　11100576パーソロン　　　　　　　　　　　　　12104788ミスハクリユウ　　　　　　　　　　　11300554Prince Bio                          00000000　　　　　　　　　　　　　　　　　　11100264ブツフラー　　　　　　　　　　　　　12101383ミスハイペリオン　　　　　　　　　　11300150Milesian                            00000000　　　　　　　　　　　　　　　　　　11100298カネリユー　　　　　　　　　　　　　12100290第三オールスクエーア　　　　　　　　100254仲住達弥　　　　　　　　　　800029信田牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　三石町　　　　　　　574000仙石　襄　　　　　　　　　　　　　　　　　　　　　　　　　　　　000009000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219781006961198004231981082719780319アグネスボーイ　　　　　　　　　　　ｱｸﾞﾈｽﾎﾞｰｲ                           Agnes Boy(JPN)                                              0                   00110411200165イエラパ　　　　　　　　　　　　　　12202796ジユテイフア　　　　　　　　　　　　11300152Mossborough                         00000000　　　　　　　　　　　　　　　　　　11300710White Label                         12301592Tudela                              11300496Nearco                              12400071All Moonshine                       00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300083Tanerko                             12400046Alba Nox                            11300696Vieux Manoir                        12300278Cha Cha Cha                         200175小林稔　　　　　　　　　　　800029信田牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　三石町　　　　　　　021005渡辺　孝男　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219781007051198010031981040119780416アサカダンシング　　　　　　　　　　ｱｻｶﾀﾞﾝｼﾝｸﾞ                          Asaka Dancing(JPN)                                          0                   00110711200078ダンシングキヤツプ　　　　　　　　　12104408フクミネ　　　　　　　　　　　　　　11300494Native Dancer                       00000000　　　　　　　　　　　　　　　　　　11100442ミネオー　　　　　　　　　　　　　　12100833サーミドール　　　　　　　　　　　　11301013Polynesian                          12401166Geisha                              00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11100002プリメロ　　　　　　　　　　　　　　12100455第参オーイエー　　　　　　　　　　　11301293Mid-day Sun                         12302223Arisha                              100313見上恒芳　　　　　　　　　　500022萩澤　誠次　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　三石町　　　　　　　162004佐久間　有寿　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419781007221197912241982020319780417アインオー　　　　　　　　　　　　　ｱｲﾝｵｰ                               Ein O(JPN)                                                  0                   00110411200298クレバーフエラ　　　　　　　　　　　12203223フレンデイモアー　　　　　　　　　　11300168Le Levanstell                       00000000　　　　　　　　　　　　　　　　　　11100680タマナー　　　　　　　　　　　　　　12101203ビツグレデイ　　　　　　　　　　　　11301188Le Lavandou                         12402766Stella's Sister                     00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300637Sunny Boy                           00000000　　　　　　　　　　　　　　　　　　11300525Panair                              12300713Lady Thames                         200147小野留嘉　　　　　　　　　　600026原口　新治　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　三石町　　　　　　　634001山本　信行　　　　　　　　　　　　　　　　　　　　　　　　　　　000060500000000000000000000000000000000014500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219781007271198009041982102819780412ベルファースト　　　　　　　　　　　ﾍﾞﾙﾌｧｰｽﾄ                            Bell Fast(JPN)                                              0                   00110411200223アイリツシユボール　　　　　　　　　12108754シヤインアロー　　　　　　　　　　　11200134ボールドリツク　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11100627ボウプリンス　　　　　　　　　　　　12101538ナニワヒメ　　　　　　　　　　　　　11300158Round Table                         00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300555Prince Chevalier                    00000000　　　　　　　　　　　　　　　　　　11300692Underwood                           12300563Green Gables                        200230田中四郎　　　　　　　　　　000027原島フアーム　　　　　　　　　　　　　　　　　　　　　　　　　　　　　三石町　　　　　　　349005惠木　永　　　　　　　　　　　　　　　　　　　　　　　　　　　　000021100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219781007311198006021982090119780322スターパシフイック　　　　　　　　　ｽﾀｰﾊﾟｼﾌｲｯｸ                          Star Pacific(JPN)                                           0                   00110311200028シヤトーゲイ　　　　　　　　　　　　12107385キヨタカイ　　　　　　　　　　　　　11300075Swaps                               00000000　　　　　　　　　　　　　　　　　　11100362カリム　　　　　　　　　　　　　　　12102900ミスキヨタカラ　　　　　　　　　　　11300432Khaled                              12301948Iron Reward                         00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300496Nearco                              00000000　　　　　　　　　　　　　　　　　　11100226ハイレコード　　　　　　　　　　　　12100885イチフジ　　　　　　　　　　　　　　100291藤本冨良　　　　　　　　　　300022パシフイツク牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　三石町　　　　　　　766004酒井　芳男　　　　　　　　　　　　　　　　　　　　　　　　　　　000026100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419781007361198005221983102719780412クリスキング　　　　　　　　　　　　ｸﾘｽｷﾝｸﾞ                             Chris King(JPN)                                             0                   04110111200302ジヨツギング　　　　　　　　　　　　12210737クリスチイナジヨイ　　　　　　　　　11300075Swaps                               00000000　　　　　　　　　　　　　　　　　　11100730サウンドトラツク　　　　　　　　　　12103988ハツクイン　　　　　　　　　　　　　11300432Khaled                              12301948Iron Reward                         00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300709Whistler                            00000000　　　　　　　　　　　　　　　　　　11100330ヤサカ　　　　　　　　　　　　　　　12101745ローヤルダツシユ　　　　　　　　　　200236谷八郎　　　　　　　　　　　700027平野　隆俊　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　三石町　　　　　　　738005原田　房太郎　　　　　　　　　　　　　　　　　　　　　　　　　　000226000000000000000000000000000000000074500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419781007451198006261982060919780424サナダアトム　　　　　　　　　　　　ｻﾅﾀﾞｱﾄﾑ                             Sanada Atom(JPN)                                            0                   00110311200219ダイアトム　　　　　　　　　　　　　12206729テユーダーラン　　　　　　　　　　　11300611Sicambre                            00000000　　　　　　　　　　　　　　　　　　11100501テユーダーペリオツド　　　　　　　　12101504マスラン　　　　　　　　　　　　　　11300554Prince Bio                          12402646Sif                                 00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300522Owen Tudor                          00000000　　　　　　　　　　　　　　　　　　11100195シマタカ　　　　　　　　　　　　　　12100358第参ロールユアオーン　　　　　　　　200279服部正利　　　　　　　　　　800028幌村牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　三石町　　　　　　　624005大森　定男　　　　　　　　　　　　　　　　　　　　　　　　　　　000067500000000000000000120000000000000014500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419781007461197912261981022619780424フジサイモン　　　　　　　　　　　　ﾌｼﾞｻｲﾓﾝ                             Fuji Simon(JPN)                                             0                   00110311200164タパルク　　　　　　　　　　　　　　12210728フジアンサー　　　　　　　　　　　　11300194Alizier                             00000000　　　　　　　　　　　　　　　　　　11200016フアーザーズイメージ　　　　　　　　12102881ベストセラー　　　　　　　　　　　　11301199Teleferique                         12400063Alizarine                           00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300075Swaps                               00000000　　　　　　　　　　　　　　　　　　11100249ボストニアン　　　　　　　　　　　　12101515マナスル　　　　　　　　　　　　　　200300増本勇　　　　　　　　　　　800028幌村牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　三石町　　　　　　　117003藤井　実郎　　　　　　　　　　　　　　　　　　　　　　　　　　　000117900000000000000000390000000000000014500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219781007471198001281982022019780417ホシドール　　　　　　　　　　　　　ﾎｼﾄﾞｰﾙ                              Hoshi Doll(JPN)                                             0                   00110311101013フアバージ　　　　　　　　　　　　　12201171ホシハート　　　　　　　　　　　　　11300558Princely Gift                       12302536Spring Offensive                    11100533ダイハード　　　　　　　　　　　　　12102475フエアスコア　　　　　　　　　　　　11300493Nasrullah                           12400343Blue Gem                            11400283Legend of France                    12400238Batika                              11300100Never Say Die                       00000000　　　　　　　　　　　　　　　　　　11100341フアイナルスコア　　　　　　　　　　12300449Fairness                            200300増本勇　　　　　　　　　　　800028幌村牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　三石町　　　　　　　460004永井　武　　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
