UM42011112820081000601201102032011081920080217ビットビット　　　　　　　　　　　　ﾋﾞｯﾄﾋﾞｯﾄ                            Bit Bit(JPN)                                                0                   00210311202057アドマイヤマックス　　　　　　　　　12249423アイノビジン　　　　　　　　　　　　11201232サンデーサイレンス　　　　　　　　　12226438ダイナシユート　　　　　　　　　　　11201495グルームダンサー　　　　　　　　　　12230672コシジダンサー　　　　　　　　　　　11301358Halo                                12407543Wishing Well                        11200291ノーザンテースト　　　　　　　　　　12211802シヤダイマイン　　　　　　　　　　　11301511Blushing Groom                      12405634Featherhill                         11200538グリーングラス　　　　　　　　　　　12219945ミスズヒメ　　　　　　　　　　　　　201041藤沢則雄　　　　　　　　　　433067伊藤　敏明　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　新ひだか町　　　　　768007田中　充　　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000004000000000000000003000000000000000000000000000000000001000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000003004
UM92011020320081000621201012022011020220080501パーフェクトレディ　　　　　　　　　ﾊﾟｰﾌｪｸﾄﾚﾃﾞｨ                         Perfect Lady(JPN)                                           0                   00210511201901タニノギムレット　　　　　　　　　　12251783トリックアート　　　　　　　　　　　11201164ブライアンズタイム　　　　　　　　　12236970タニノクリスタル　　　　　　　　　　11201614ダンスインザダーク　　　　　　　　　12229102サクラギヤル　　　　　　　　　　　　11301372Roberto                             12406315Kelley's Day                        11200773クリスタルパレス　　　　　　　　　　12208870タニノシーバード　　　　　　　　　　11201232サンデーサイレンス　　　　　　　　　12229400ダンシングキイ　　　　　　　　　　　11200291ノーザンテースト　　　　　　　　　　12213322シヤダイアンブリー　　　　　　　　　101089武市康男　　　　　　　　　　433067伊藤　敏明　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　新ひだか町　　　　　161006首藤　徳　　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001
UM42012031920081000631201101062011081020080221サクラミストラル　　　　　　　　　　ｻｸﾗﾐｽﾄﾗﾙ                            Sakura Mistral(JPN)                                         0                   00210511202016サクラプレジデント　　　　　　　　　12244440サクラヴァウチ　　　　　　　　　　　11201232サンデーサイレンス　　　　　　　　　12229105セダンフオーエバー　　　　　　　　　11402553Woodman                             12414113Vouch                               11301358Halo                                12407543Wishing Well                        11200415マルゼンスキー　　　　　　　　　　　12210880サクラセダン　　　　　　　　　　　　11400948Mr. Prospector                      12409201Playmate                            11301358Halo                                12414106Resume                              101074奥平雅士　　　　　　　　　　433067伊藤　敏明　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　新ひだか町　　　　　019800さくらコマース　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000001001000000000004000000000000000002000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000001000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000001000000000000000000000000000000000000000000000002006
UM92011092920081000651201005202011092820080412サクラピュアハート　　　　　　　　　ｻｸﾗﾋﾟｭｱﾊｰﾄ                          Sakura Pure Heart(JPN)                                      0                   00210311202016サクラプレジデント　　　　　　　　　12245710サクラスイートキス　　　　　　　　　11201232サンデーサイレンス　　　　　　　　　12229105セダンフオーエバー　　　　　　　　　11201449アーミジャー　　　　　　　　　　　　12232086サクラメグミ　　　　　　　　　　　　11301358Halo                                12407543Wishing Well                        11200415マルゼンスキー　　　　　　　　　　　12210880サクラセダン　　　　　　　　　　　　11402376Rainbow Quest                       12410642Armeria                             11200415マルゼンスキー　　　　　　　　　　　12218816スーパービツク　　　　　　　　　　　201113牧浦充徳　　　　　　　　　　433067伊藤　敏明　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　新ひだか町　　　　　019800さくらコマース　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000006000000000000000006000000000000000000000000000000000004000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000003000000000000000001000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000001003002006
UM42013102120081000661201104142011051120080414サクラアマリリス　　　　　　　　　　ｻｸﾗｱﾏﾘﾘｽ                            Sakura Amaryllis(JPN)                                       0                   00210711202016サクラプレジデント　　　　　　　　　12252560サクラセレーネ　　　　　　　　　　　11201232サンデーサイレンス　　　　　　　　　12229105セダンフオーエバー　　　　　　　　　11201667サクラローレル　　　　　　　　　　　12243293サクラメールディ　　　　　　　　　　11301358Halo                                12407543Wishing Well                        11200415マルゼンスキー　　　　　　　　　　　12210880サクラセダン　　　　　　　　　　　　11402376Rainbow Quest                       12230982ローラローラ　　　　　　　　　　　　11200941サクラユタカオー　　　　　　　　　　12225483メールデイヴオワール　　　　　　　　101112田島俊明　　　　　　　　　　433067伊藤　敏明　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　新ひだか町　　　　　019800さくらコマース　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000001001000001002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005
UM42011072820081000691201005132010120820080219キャンベル　　　　　　　　　　　　　ｷｬﾝﾍﾞﾙ                              Campbell(JPN)                                               0                   00210311201906スウェプトオーヴァーボード　　　　　12251237グレイスマジック　　　　　　　　　　11403690End Sweep                           12419297Sheer Ice                           11201658バブルガムフェロー　　　　　　　　　12243868グレイスフルホーク　　　　　　　　　11402676Forty Niner                         12414431Broom Dance                         11402525Cutlass                             12419298Hey Dolly A.                        11201232サンデーサイレンス　　　　　　　　　12231148バブルカンパニー　　　　　　　　　　11401948Silver Hawk                         12414255Graceful Touch                      200407高橋隆　　　　　　　　　　　433070漆原　一也　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　新ひだか町　　　　　260007重松　國建　　　　　　　　　　　　　　　　　　　　　　　　　　　000028500000000000000000000000000000000000000000000000000001002003002005000000000002002003000000000000000000000000000002002002000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000002002001000000000000000000000000000000000001000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002002002000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000001000006000013
UM42013030420081000721201102032011081720080325オペラヒメ　　　　　　　　　　　　　ｵﾍﾟﾗﾋﾒ                              Opera Hime(JPN)                                             0                   00210411201465オペラハウス　　　　　　　　　　　　12244595ブライアンガール　　　　　　　　　　11401591Sadler's Wells                      12410838Colorspin                           11201164ブライアンズタイム　　　　　　　　　12232650ジプシーガール　　　　　　　　　　　11300102Northern Dancer                     12406600Fairy Bridge                        11400909High Top                            12404892Reprocolor                          11301372Roberto                             12406315Kelley's Day                        11200655ノーアテンシヨン　　　　　　　　　　12218505ザオーロザリヤ　　　　　　　　　　　201105須貝尚介　　　　　　　　　　433070漆原　一也　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　新ひだか町　　　　　556009廣嶋　誠二　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000001003001002010000000000000000003000000000000000000000000000000000001000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000002000000000000000000000000002001017
UM42014080420081000791201111242013062920080429アマレット　　　　　　　　　　　　　ｱﾏﾚｯﾄ                               Amaretto(JPN)                                               0                   05210311201906スウェプトオーヴァーボード　　　　　12239078アドベンチャーオン　　　　　　　　　11403690End Sweep                           12419297Sheer Ice                           11402365Relaunch                            12405154Why Me Lord                         11402676Forty Niner                         12414431Broom Dance                         11402525Cutlass                             12419298Hey Dolly A.                        11300852In Reality                          12408627Foggy Note                          11400806Bold Reasoning                      12405153Tomorrowland                        100428石毛善彦　　　　　　　　　　033071大滝　康晴　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　新ひだか町　　　　　818800イージス　　　　　　　　　　　　　　　　　　　　　　　　　　　　000011700000000000000000000000000000000001000000000000002001000000002016000000000000002014000000000000000000000000000000000003000000000000000002000000000000000000000000000000002005000000000000000003000000000000000001000000000000000004000000000000000000000000000000000000000000000000000001000000000000001005000000000000001000000000000000000002000000000000000001000000000000000000000000000000000000000000000000000001000000000000000000000000000000000002000000000000000003000000000000000000000000000000001008000000000000001000000000000000000000002001005008021
UM42013011520081000831201010142011051920080524グラナトゥム　　　　　　　　　　　　ｸﾞﾗﾅﾄｩﾑ                             Granatum(JPN)                                               0                   00210411202105ファンタスティックライト　　　　　　12248498ウイナーズベル　　　　　　　　　　　11402680Rahy                                12417865Jood                                11200881ニホンピロウイナー　　　　　　　　　12239835ロイヤルベル　　　　　　　　　　　　11301511Blushing Groom                      12405908Glorious Song                       11300096Nijinsky                            12417866Kamar                               11200463ステイールハート　　　　　　　　　　12211231ニホンピロエバート　　　　　　　　　11201048ベリフア　　　　　　　　　　　　　　12225159ロイヤルコスマー　　　　　　　　　　100410秋山雅一　　　　　　　　　　233071岡田スタツド　　　　　　　　　　　　　　　　　　　　　　　　　　　　　新ひだか町　　　　　851009岡田　牧雄　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000001001012000000000000000004000000000000000000000000000000000001000000000000000000000000000000000000000000000000000001000000000000000002000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000002000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000003000000000000000000000000000000000000000000002002014
UM92011080820081000871201010212011080420080505プリンセスモトヒメ　　　　　　　　　ﾌﾟﾘﾝｾｽﾓﾄﾋﾒ                          Princess Motohime(JPN)                                      0                   00210111201675マヤノトップガン　　　　　　　　　　12242331ガルフパール　　　　　　　　　　　　11201164ブライアンズタイム　　　　　　　　　12225641アルプミープリーズ　　　　　　　　　11201261ジェイドロバリー　　　　　　　　　　12217624アイレテスコ　　　　　　　　　　　　11301372Roberto                             12406315Kelley's Day                        11301511Blushing Groom                      12405830Swiss                               11400948Mr. Prospector                      12409046Number                              11100795テスコボーイ　　　　　　　　　　　　12206496アイレバース　　　　　　　　　　　　101093松永康利　　　　　　　　　　233071岡田スタツド　　　　　　　　　　　　　　　　　　　　　　　　　　　　　新ひだか町　　　　　627007黒澤　尚　　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000007000000000000000007000000000000000000000000000000000002000000000000000001000000000000000000000000000000000002000000000000000002000000000000000000000000000000000003000000000000000000000000000000000000000000000000000000000000000000000001000000000000000002000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000001000000000000000000000000000000000004000000000000000000000000000000000000000000005002007
