RAA20081119200811184617040750000サラ系一般　Ｂ２３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｂ２３　サラ系一般　サラ系0000  000003000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000250000000620000002500000012000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111113040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,2,9,11,5,10,6,3,4,1,7                                               20(2,8),9,11,5,(6,10),3,4,1,7                                           305,11,8,9,2,10,6,(1,3),4,7                                             405,11,8,10,9,6,(1,3),2,4,7                                             0
RAA20081119200811184617040850000祝ＬＪＳ開催西嶌来場記念　Ｂ２２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     祝ＬＪＳ開催西嶌来場祝ＬＪＳ開催祝ＬＪ0000  000003000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000250000000620000002500000012000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909093040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,7,4,1,2,3,6,5,9                                                     208,4,7,1,2,3,6,5,9                                                     307,1,8,4,2,3,6,9,5                                                     407,1,8,4,(2,3),(6,9),5                                                 0
RAA20081119200811184617041050000ＬＪＳ「イーバンク銀行賞」　Ｂ２級　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          ＬＪＳ「イーバンク銀ＬＪＳ「イーＬＪＳ0000E 000003000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000400000000920000003600000020000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010103040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,9,1,5,3,6,8,2,10,7                                                  204,9,1,5,6,3,8,2,10,7                                                  304,9,5,6,2,8,1,10,7,3                                                  404,9,5,2,6,7,8,10,1,3                                                  0
RAA20081124200811234618010920000サラ系一般　Ｂ４４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｂ４４　サラ系一般　サラ系0000  000003000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000200000000500000002000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808083040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,3,7,6,1,(5,8),4                                                     202,3,7,1,6,(5,8),4                                                     30(2,3),7,6,1,4,8,5                                                     402,3,4,7,8,6,1,5                                                       0
RAA20081124200811234618011020000アクアマリン特別　Ａ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          アクアマリン特別　Ａアクアマリンアクア0000E 000003000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　190000002400    0000400000001000000004000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010103040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,2,(3,4,10),8,7,1,5,6                                                209,(2,3),10,8,4,1,5,6,7                                                309,10,8,2,1,4,5,3,7,6                                                  409,10,8,1,2,5,4,3,7,6                                                  0
RAA20081125200811244618020140000サラ系一般　Ｃ３６　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３６　サラ系一般　サラ系0000  000003000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000160000000400000001600000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,2,9,10,4,7,3,1,5,6                                                  202,8,9,1,10,7,3,5,4,6                                                  308,2,10,9,1,7,3,5,4,6                                                  4010,8,2,9,1,7,3,5,6,4                                                  0
RAA20081125200811244618020840000リゲル特別Ｃ３級以下勝馬　Ｃ３１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          リゲル特別Ｃ３級以下リゲル特別Ｃリゲル0000E 000003000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000240000000550000002100000012000000070000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909093040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,8,9,4,6,3,7,1,5                                                     202,8,9,(3,6),4,7,1,5                                                   308,9,6,2,4,3,1,7,5                                                     408,9,6,3,4,2,7,1,5                                                     0
RAA20081126200811254618030150000サラ系一般　Ｃ５６　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ５６　サラ系一般　サラ系0000  000003000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000160000000400000001600000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,2,10,9,8,1,5,4,(3,6)                                                207,1,2,10,8,9,5,3,4,6                                                  307,1,10,9,2,8,3,5,4,6                                                  409,1,10,7,5,8,(3,6),2,4                                                0
RAA20081126200811254618030250000サラ系一般　Ｃ５５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ５５　サラ系一般　サラ系0000  000003000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000160000000400000001600000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,6,(8,9),3,7,2,1,5                                                   204,6,8,9,3,7,1,2,5                                                     304,(6,8),1,3,9,7,2,5                                                   408,(1,6),4,3,7,9,2,5                                                   0
RAA20081126200811254618030550000サラ系一般　Ｂ３２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｂ３２　サラ系一般　サラ系0000  000003000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000230000000570000002300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000605051040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,5,6,4,3                                                             201,5,3,4,6                                                             305,1,4,3,6                                                             405,4,1,3,6                                                             0
RAA20081201200811304618040920000はぼたん特別　Ｂ２１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          はぼたん特別　Ｂ２１はぼたん特別はぼた0000E 000003000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　170000002400    0000250000000620000002500000012000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010103040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,2,7,8,4,10,9,5,3,6                                                  201,2,7,8,4,9,5,10,3,6                                                  301,8,7,2,5,10,9,4,3,6                                                  408,1,7,2,5,10,9,4,3,6                                                  0
RAA20081201200811304618041020000ヤングＣｈ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　YOUNG CHAMPION                                                                                                                                                                                                                                                                                                                                                          ヤングＣｈ　　　　　ヤングＣｈ　ヤング0000D 110004000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　170000002400    0001800000004140000016200000090000000540000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111113040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,4,6,10,3,11,5,2,8,1,9                                               207,4,6,10,2,11,3,5,1,8,9                                               307,4,6,10,11,2,5,9,1,3,8                                               407,4,5,6,10,9,11,(1,3),2,8                                             0
