RAA20081119200811184308021050000ジュメイラビーチＣ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(TWO-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                                 ジュメイラビーチＣ　ジュメイラビジュメ0000E 110000000000000000000サラ系２歳　２００万上　　　　　　　　　　　　　　　　　　　160000002300    00050000000150000001000000006000000040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010101010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,(3,9),7,(4,5),2,(1,8),6                                            2010,3,9,7,(4,5),2,8,1,6                                                3010,3,9,7,(4,8),2,5,1,6                                                4010,3,9,4,7,2,(1,6),8,5                                                0
RAA20081119200811184308021150000サラ系一般　Ｃ１四アイ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１四アサラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001200000003600000021600000144000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,8,5,10,2,6,7,3,9,4                                                  201,8,5,10,2,6,7,3,9,4                                                  301,8,10,2,(6,7),5,9,3,4                                                401,8,10,2,7,6,9,5,3,4                                                  0
RAA20081120200811194308030660000サラ系一般　Ｃ２五アイ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２五アサラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313131010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,7,13,4,8,6,(9,12),2,3,11,1,10                                       205,7,13,4,8,6,12,9,2,3,11,1,10                                         305,7,(4,8),13,6,(2,12),9,11,3,1,10                                     405,7,8,4,13,6,2,11,3,12,10,1,9                                         0
RAA20081121200811204308040470000サラ系３歳　アイ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　アイ　　サラ系３歳　サラ系0000  120000000000000000000６０万上１１２万未満　　　　　　　　　　　　　　　　　　　　150000002300    000100000000300000001800000012000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000121212101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(4,9),(7,12),2,8,(6,10),3,1,11,5                                      20(4,9),7,2,12,8,(6,10),3,1,11,5                                        30(4,9),3,(2,7),12,8,10,6,11,5,1                                        409,3,(2,7),4,8,10,(6,12),(5,11),1                                      0
RAA20081121200811204308040570000サラ系一般　Ｃ２六アイ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２六アサラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    000100000000300000001800000012000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000121212101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020(4,8,9),11,7,12,2,(1,6),(5,10),3                                      304,(8,11),9,(7,12),6,2,10,(1,5),3                                      404,(8,11),(7,9,12),6,2,5,10,1,3                                        00                                                                      0
RAA20081121200811204308040670000サラ系一般　Ｃ２六アイ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２六アサラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    000100000000300000001800000012000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000121212101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(10,12),2,5,6,(1,3,8),(4,7),11,9                                      20(10,12),2,5,6,(3,8),(1,4,7),11,9                                      30(10,12),(2,5),(6,8),(1,3,7),4,11,9                                    40(10,12),8,(2,5,6),7,(3,4,11),9,1                                      0
RAA20081121200811204308040970000手児奈特別　Ｂ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          手児奈特別　Ｂ２　　手児奈特別　手児奈0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0002600000007800000052000000312000002080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,5,8,4,(1,9),2,6,7                                                   203,5,(1,8),4,9,2,6,7                                                   30(3,5),8,9,4,1,2,6,7                                                   40(3,5),9,4,8,2,1,7,6                                                   0
RAA20081122200811214308050580000サラ系一般　Ｃ２七アイ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２七アサラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000207,(4,6),10,(2,5),1,8,12,11,9,3                                        306,7,4,10,(1,5,12),8,2,(9,11),3                                        406,7,10,4,5,8,1,9,12,2,11,3                                            00                                                                      0
RAA20081120200811194308030960000フェイスフルブーツ特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          フェイスフルブーツ特フェイスフルフェイ0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　170000002300    00040000000120000000800000004800000032000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013131310100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011,13,12,(2,4),6,(3,5),(1,7),8,9,10                                   2011,13,12,2,4,(3,6),5,(1,7),8,9,10                                     3011,(12,13),(2,4),(3,6),(5,8),1,7,9,10                                 4011,12,13,4,2,6,3,5,8,1,7,9,10                                         0
RAA20081122200811214308050780000サラ系一般　Ｃ１Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１Ｃ２サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　170000002300    0001300000003900000023400000156000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,3,9,(8,10),1,6,5,7,4,11                                             202,3,9,1,(8,10),6,5,(4,7),11                                           307,(2,3),10,(1,8),9,6,5,(4,11)                                         402,7,3,8,1,10,6,5,4,11,9                                               0
RAA20081120200811194308030760000サラ系一般　Ｃ２四アイ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２四アサラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    000100000000300000001800000012000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000141414101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(5,6,8),(4,13),14,12,1,3,7,(2,10),9,11                                20(6,8),5,4,13,(1,12,14),3,(2,7),9,10,11                                30(6,8),5,(4,13),1,12,(3,14),(2,7),9,10,11                              40(5,6),8,13,(4,12),3,1,2,7,(9,10),14,11                                0
RAA20081122200811214308050280000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　　　　　サラ系３歳　サラ系0000  120000000000000000000１５万未満　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000908081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000205,4,6,1,7,2,3,8                                                       305,7,4,3,6,2,1,8                                                       405,7,3,4,2,6,1,8                                                       00                                                                      0
