RAA20080823200808224205010780000トワイライト・ファイナル賞３　Ｃ１三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　                                                                                                                                                                                                                                                                                                                                                                        トワイライト・ファイトワイライトトワイ0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    000110000000330000001870000014300000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111202000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                                      00                                                                      00                                                                      00                                                                      0
RAA20080826200808254205020340000サラ系３歳　三四　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　                                                                                                                                                                                                                                                                                                                                                                        サラ系３歳　三四　　サラ系３歳　サラ系0000  000000000000000000000１０１万上２１０万未満　　　　　　　　　　　　　　　　　　　140000002300    000100000000300000001700000013000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000121212304000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                                      00                                                                      00                                                                      00                                                                      0
RAA20080826200808254205020540000サラ系一般　Ｃ３六七　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３六七サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    00008000000024000000136000001040000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121230400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,11,12,2,7,5,1,6,9,3,4,8                                            2010,11,12,2,7,5,(1,3),6,9,8,4                                          3011,10,2,5,7,(1,12),6,3,8,9,4                                          4011,5,2,10,3,7,6,9,12,8,1,4                                            0
RAA20080827200808264205030950000清秋特別　Ｃ２二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          清秋特別　Ｃ２二　　清秋特別　Ｃ清秋特0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    00016000000048000000272000002080000016000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111120400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,6,2,8,5,9,3,11,7,4,1                                               2010,6,2,5,8,9,3,(7,11),4,1                                             3010,6,2,5,8,9,11,7,4,3,1                                               406,2,10,8,5,4,11,9,7,1,3                                               0
