RAA20080529200805283401010760000ルーキーＣｈ（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　                                                                                                                                                                                                                                                                                                                                                                        ルーキーＣｈ（中央認ルーキーＣｈルーキ0000  000000000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　100000002400    000150000000300000002250000015000000075000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000080808202000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                                      00                                                                      00                                                                      00                                                                      0
RAA20080529200805283401010160000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　                                                                                                                                                                                                                                                                                                                                                                        サラ系２歳　　　　　サラ系２歳　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　100000002400    000020000000040000000300000002000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000070707102000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                                      00                                                                      00                                                                      00                                                                      0
RAA20080530200805293401020370000サラ系一般　Ｄ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　                                                                                                                                                                                                                                                                                                                                                                        サラ系一般　Ｄ３　　サラ系一般　サラ系0000  000000000000000000000４０万下　　　　　　　　　　　　　　　　　　　　　　　　　　100000002400    000015000000024000000180000001200000006000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000121212101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                                      00                                                                      00                                                                      00                                                                      0
RAA20080529200805283401010360000サラ系一般　Ｄ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　                                                                                                                                                                                                                                                                                                                                                                        サラ系一般　Ｄ３　　サラ系一般　サラ系0000  000000000000000000000４０万下　　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    000015000000024000000180000001200000006000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000070707202000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                                      00                                                                      00                                                                      00                                                                      0
RAA20080529200805283401010460000フレッシュＣｈ（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            フレッシュＣｈ（中央フレッシュＣフレッ0000  110000000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　100000002400    000200000000400000003000000020000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000080808202000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(1,2,4,8),6,3,7,5                                                     401,(2,4,6,8),3,(5,7)                                                   00                                                                      00                                                                      0
RAA20080529200805283401011160000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　　　　　サラ系３歳　サラ系0000  120000000000000000000１００万下　　　　　　　　　　　　　　　　　　　　　　　　　100000002400    0000250000000500000003800000025000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000304,5,(3,7),(1,9),8,(6,10),2                                            40(4,5),(3,7),(1,6,8),9,10,2                                            00                                                                      00                                                                      0
RAA20080530200805293401020470000フレッシュＣｈ（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            フレッシュＣｈ（中央フレッシュＣフレッ0000  110000000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　100000002400    000200000000400000003000000020000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000080707101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(4,8),7,(2,6),3,1                                                     40(4,8),7,3,(2,6),1                                                     00                                                                      00                                                                      0
RAA20080530200805293401020570000ルーキーＣｈ（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            ルーキーＣｈ（中央認ルーキーＣｈルーキ0000  110000000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0001500000003000000022500000150000000750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,5,8,(3,7),6,1,2                                                     204,(5,8),(3,7),6,1,2                                                   304,5,8,(3,7),2,6,1                                                     404,(5,8),3,6,7,2,1                                                     0
RAA20080530200805293401020670000サラ系３歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD OP                                                                                                                                                                                                                                                                                                                                                       サラ系３歳　ＯＰ　　サラ系３歳　サラ系0000  120002000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000350000000700000005300000035000000170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000908081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,3,9,5,4,7,8,2                                                       201,3,9,5,4,7,8,2                                                       303,1,9,5,4,8,7,2                                                       40(3,9),(5,8),(2,4),7,1                                                 0
RAA20080529200805283401010960000アルキバ特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               アルキバ特別（中央交アルキバ特別アルキ0000E 120003000000000000000サラ系３歳　１５０万下　　　　　　　　　　　　　　　　　　　100000002400    00005000000010000000075000000500000002500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013131320200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003010,(9,11),(12,13),(4,7),8,(1,5),2,3,6                                 4010,9,(11,13),12,4,(1,7,8),(2,5),3,6                                   00                                                                      00                                                                      0
