05184301
13,サンドスピーダー,82.22,57.8,43.6
14,エンパシー,82.16,65.3,42.5
15,バルトフォンテン,82.14,68.8,54.0
16,レアバード,82.37,45.3,46.3
17,ベストティアーズ,82.24,49.3,63.3
18,カトルラポール,82.10,47.2,39.0
05184309
1,ミネット,108.25,51.3,52.4
2,ウインシトリン,107.88,54.9,49.1
3,ラブターボ,109.78,7.2,39.5
4,トーホウアイレス,107.85,57.7,50.1
5,シグナライズ,108.36,53.0,55.1
6,ブラックオニキス,107.13,65.1,46.0
7,アグレアーブル,108.04,57.5,53.2
8,イストワールファム,107.86,72.1,54.2
9,レイリオン,108.01,41.8,52.5
10,フロムマイハート,108.52,38.9,47.9
05184310
1,マコトガラハッド,147.15,58.7,46.2
2,デルマサリーチャン,148.31,11.5,38.5
3,グランドサッシュ,147.35,51.0,48.3
4,トレジャーマップ,147.55,25.6,47.4
5,フェイズベロシティ,147.42,56.4,48.6
6,ワールドレーヴ,148.08,26.5,47.7
7,マサハヤダイヤ,146.78,66.0,54.0
8,ネイチャーレット,147.17,23.3,48.4
9,マイネルカレッツァ,147.02,41.6,54.4
10,ムイトオブリガード,146.35,70.8,55.0
11,コウキチョウサン,146.93,49.8,54.3
12,ルックトゥワイス,146.84,92.3,54.4
13,グローブシアター,146.21,76.0,52.9
05184311
1,ラインシュナイダー,84.22,34.5,49.7
2,タガノディグオ,84.40,44.9,45.8
3,モルトベーネ,84.30,38.3,40.6
4,ハヤブサマカオー,84.21,72.3,55.3
5,ラストダンサー,84.76,30.8,47.1
6,アードラー,83.77,63.7,54.5
7,サンライズノヴァ,83.26,74.4,50.9
8,ワンダーリーデル,84.14,41.9,54.1
9,ルグランフリソン,84.15,40.0,58.9
10,アキトクレッセント,83.94,56.2,47.3
11,ハットラブ,83.75,64.7,44.2
12,ダノングッド,84.09,53.2,50.5
13,リョーノテソーロ,83.99,47.4,51.3
14,テーオーエナジー,84.43,37.2,45.9
15,ナムラミラクル,84.01,55.4,48.8
16,ブルミラコロ,83.80,44.3,55.0
05184312
1,ノーザンクリス,99.74,34.5,51.4
2,シグネットリング,99.04,43.5,49.3
3,ブルーオラーリオ,100.02,21.4,50.1
4,クリムズンフラッグ,99.34,41.0,49.8
5,ヤマタケパンチ,99.38,37.8,43.8
6,オーシャンビュー,99.19,63.1,43.8
7,ペイシャボム,98.96,61.0,50.7
8,タイキダイヤモンド,99.15,70.2,55.0
9,トーホウフライト,98.41,75.8,52.4
10,ヴィジョンオブラヴ,98.81,66.8,46.9
11,ビービーガウディ,98.83,59.6,55.4
12,ジオパークボス,99.79,24.9,51.4
08184301
1,テンナイトパール,115.79,56.6,46.0
2,テーオーダンケルク,117.41,42.6,51.3
3,デルマシャンティ,116.45,52.6,48.7
4,セロシア,116.83,56.6,53.9
5,ヴァロリザー,115.61,57.2,52.9
6,ビルジキール,117.32,36.7,44.7
7,タニノマイカ,118.19,42.5,44.5
8,ゲンパチルシファー,117.68,44.4,51.0
9,スマートローガン,118.18,35.3,51.9
10,タイセイレオーネ,116.96,59.0,48.8
11,ブルベアペスカ,117.57,44.7,54.5
