03143401
15,デイブレイク,70.19,61.3,51.1,101
16,サマーハピネス,70.33,40.8,49.4,93
03143409
1,デコイ,108.42,40.6,52.4,94
2,アグネスミニッツ,107.42,65.1,44.5,105
3,ベールグリーン,107.83,55.3,48.8,101
4,クリノエビスジン,108.02,45.7,50.5,87
5,アラート,108.89,24.6,51.1,89
6,イルポスティーノ,108.49,45.2,49.5,96
7,ストロングバルドル,108.13,66.4,53.6,103
8,マコトグロズヌイ,107.36,80.0,52.4,118
9,ヴィクトリーケルブ,109.15,20.1,52.3,89
10,アルカナ,108.01,58.0,46.7,103
11,マイネルガネーシャ,107.82,62.3,50.0,107
12,スリーヨーク,107.87,36.2,48.1,99
03143410
1,トップルビー,69.48,53.7,44.7,99
2,ミュゼリトルガール,69.15,61.3,54.2,120
3,スーパーアース,69.66,80.4,54.6,111
4,バーニングハート,69.53,49.2,52.6,106
5,タイセイララバイ,69.21,76.6,48.6,129
6,イスルギ,69.45,30.8,57.6,89
7,エクスシア,69.87,46.3,43.3,85
8,ヨシカワクン,69.40,44.6,50.9,112
9,ヨザクラオシチ,69.60,24.3,50.2,103
10,ハッシュ,69.24,67.4,55.4,108
11,アスターローズ,69.89,20.3,45.0,89
12,クラウンデュナミス,69.39,61.3,48.2,110
13,テイエムコウノトリ,69.70,48.4,51.8,106
14,タガノレオーネ,69.54,43.3,47.9,106
15,コウヨウチャンス,69.52,50.5,46.0,92
16,イロリ,69.73,40.8,49.0,102
03143411
1,サザンブレイズ,68.57,8.9,38.9,93
2,ゴールデンムーン,67.98,52.2,47.9,100
3,テイエムキュウコー,68.62,15.1,53.7,85
4,サカジロロイヤル,67.88,57.9,48.5,110
5,マイネサヴァラン,67.84,72.1,58.8,108
6,ミッドナイトクロス,67.89,61.7,46.9,114
7,ロマンス,69.21,32.3,48.8,87
8,ローブドヴルール,68.16,34.9,41.2,110
9,ヒーラ,68.67,46.0,48.9,100
10,ユキノアイオロス,68.42,70.9,51.4,102
11,アポロスターズ,69.11,32.7,51.8,115
12,レモンチャン,68.07,53.6,51.3,103
13,トキノゲンジ,67.96,61.1,43.4,109
14,メイショウツガル,68.13,62.2,59.3,98
15,ニコールバローズ,68.25,53.5,47.2,98
16,モズハツコイ,68.19,84.2,62.0,123
03143412
1,タルトオポム,108.49,61.4,49.7,101
2,ウメ,108.39,43.8,47.3,94
3,アドマイヤライン,107.89,54.9,50.1,103
4,リノリオ,108.06,52.9,44.6,109
5,コスモツケマ,108.37,59.1,42.1,97
6,ラナキラリオ,109.20,12.4,48.6,0
7,ラッキーストリーク,107.70,57.6,49.1,114
8,ポップジェムズ,107.62,48.2,52.1,104
9,リコルディ,108.29,33.1,52.4,87
10,ヘレナモルフォ,108.59,52.6,50.9,96
11,シンボリネルソン,108.53,26.5,40.9,89
12,ヴァンセンヌ,107.10,85.9,62.8,124
13,セトノフラッパー,108.62,28.8,50.2,101
14,シングンジョーカー,107.99,72.2,48.8,133
15,ハイベストバイオ,107.75,81.3,53.3,108
16,クライナーヘルツ,108.54,28.4,57.0,88
05144701
1,マイネルラヴィーン,109.82,62.0,48.2,98
2,トミケンブレスク,110.52,36.3,53.5,100
3,ニシノハッスル,109.63,44.4,55.2,107
4,ディアマイダーリン,109.27,77.8,55.5,116
5,カシシ,109.37,66.7,47.3,117
6,デスドロップ,111.47,24.8,49.5,91
7,トーセンカナロア,110.15,51.0,48.5,107
8,スターチェイサー,109.58,78.9,51.0,124
9,シテール,112.43,21.7,44.3,84
10,プラトンイミシャン,109.94,36.1,47.1,95
05144702
1,アラビアンローズ,97.76,16.2,42.8,90
2,セラフィーナ,96.57,37.6,50.1,95
3,ヴァンドデセール,97.13,41.6,50.4,97
4,クワッドアクセル,97.06,61.6,51.7,108
5,メイケイヘリオス,97.24,76.7,49.1,109
6,ディープクィック,97.41,47.5,45.8,108
7,コスモトリスタン,96.67,74.9,52.3,109
8,タイムフォラヴ,96.60,41.5,49.3,97
9,ダイワコンプリート,96.37,49.6,58.5,105
10,ウインエスパシオ,96.64,76.0,55.4,114
11,ランデックヒルズ,96.90,46.9,44.4,99
12,ゼトス,97.12,50.9,49.4,106
13,コスモフィンセント,96.66,38.1,52.4,101
14,ネコレーヌ,97.57,40.1,48.4,95
05144703
1,アグスタ,101.36,51.4,55.9,
2,エルブダムール,101.17,58.6,52.8,
3,ジェントルジャック,101.24,47.9,48.6,
4,カヴァッロ,101.62,49.8,54.2,
5,ディアドナテロ,102.37,47.9,46.2,
6,ヨシミツクン,102.80,48.7,48.0,
7,サトノピスケス,101.99,48.4,53.3,
8,ノーブルカイザー,102.21,53.1,46.8,
9,ゴールドサーベラス,102.36,43.3,52.1,
10,イダクァイマ,101.16,51.6,51.7,
11,アイスキャンドル,103.50,47.3,49.8,
12,ラミアカーサ,102.72,49.4,46.7,
13,キョウエイインドラ,101.73,55.9,44.8,
14,コスモサビク,101.54,45.7,49.1,
05144704
1,マコトアルバトロス,98.36,47.5,51.0,
2,サウンドアラムシャ,97.79,48.6,61.6,
3,バトルベヌス,98.06,35.7,49.2,
4,ペンタプリズム,96.34,53.2,58.8,
5,レイニングバイオ,97.52,44.6,49.6,
6,タイセイゴッホ,98.02,68.1,48.0,
