2013120806050401,中山,1200,ダート,良
1,トルセドール,73.62,,61.4
2,ダムキナ,74.58,,42.8
3,セイカブレリア,75.72,,51.7
4,シゲルウゼン,75.57,,39.9
5,ラララ,74.89,,54.3
6,サンバデジャネイロ,75.87,,47.5
7,ビックナサンクス,73.44,,53.2
8,カイドウ,75.22,,57.4
9,イスズヒメ,75.25,,45.7
10,チタノティアラ,75.97,,52.5
11,マルターズポラリス,74.42,,56.1
12,グランパレ,74.26,,50.2
13,チュウワベイビー,73.97,,57.9
14,ケイジージュピター,73.86,,46.5
15,メイショウサンタ,74.50,,36.9
16,カシノレント,75.02,,46.0
2013120806050402,中山,1800,ダート,良
1,アルスターサイクル,117.96,,50.8
2,エストゥペンド,119.22,,51.2
3,オルディネ,120.77,,43.8
4,マイネルラヴォーロ,119.60,,51.8
5,アールプロセス,118.50,,57.3
6,ポッドジョーカー,118.49,,54.5
7,フユハナビ,120.98,,42.5
8,ジェイケイウィーク,120.06,,50.8
9,ジャマスルナ,120.14,,44.1
10,ノックアバウト,119.83,,42.1
11,グローバルメジャー,120.93,,47.8
12,ガラパゴス,119.24,,42.6
13,ニシノゲンキマル,118.94,,50.5
14,カフェテキーラ,119.88,,67.1
15,ジャックポット,120.43,,45.1
16,アクシア,118.87,,58.0
2013120806050403,中山,1800,芝,良
1,ラブウィスパー,111.09,,48.1
2,ユズノカオリ,111.11,,44.3
3,マイネルファラオン,110.70,,46.8
4,シーロア,110.43,,54.2
5,ウインステージ,112.11,,43.6
6,バトルジェジェジェ,110.85,,50.6
7,アースプレイ,110.41,,48.8
8,デンセツ,110.42,,49.8
9,ゴールドシェンロン,111.30,,41.5
10,リーサルウェポン,110.34,,62.7
11,アキノリング,111.74,,43.4
12,ハートオブクラリス,110.78,,55.7
13,マイネルヴィクター,111.13,,49.1
14,ダノンシュワー,110.52,,57.6
15,エスティリリー,111.41,,42.9
16,シンゲツ,112.77,,60.9
2013120806050404,中山,2880,障害(直線ダ),良
1,セクシイサウンド,197.59,,
2,アイファーハイカラ,198.09,,
3,フェートグランド,198.77,,
4,オリオンザアルファ,198.99,,
5,アーリーボーイ,200.02,,
6,ビレッジトレンディ,198.46,,
7,スキップコード,199.46,,
8,プロジェクトブルー,198.40,,
9,ビービーラッシュ,197.31,,
2013120806050405,中山,2000,芝,良
1,ニューティアラ,127.12,,46.6
2,ホウショウマスター,127.31,,47.8
3,アムールスキー,126.22,,52.6
4,ホットボディー,127.54,,53.2
5,クインズチャイルド,126.97,,57.8
6,ラストカレンナ,127.19,,50.5
7,ヒシニース,127.33,,42.5
8,トーアサムライ,127.23,,47.2
9,レッドレギオン,126.47,,53.4
10,コスモセキトバ,126.88,,44.7
11,スーパーハリケーン,126.54,,53.9
2013120806050406,中山,1600,芝,良
1,ブルーロータス,95.54,,63.9
2,ホールドアウト,97.66,,42.6
3,タカラキャメロン,97.64,,51.7
4,リヴィダス,96.02,,56.4
5,ランドオブマヤ,97.27,,51.9
6,ボデギータ,97.35,,47.0
7,フォワードカール,97.33,,51.4
8,ビコーズサンサン,97.65,,50.9
9,コスモカナメ,97.30,,42.2
10,デピュティイモン,98.10,,45.1
11,ホワイトレーヌ,98.39,,47.3
12,トーセンプリエール,97.17,,53.0
13,アルミサエル,98.43,,42.1
14,ツインキャンドル,97.03,,51.9
15,カフジウインド,97.04,,58.5
16,ウインシンデレラ,97.86,,44.3
2013120806050407,中山,1800,ダート,良
1,ジャッカスバーク,116.16,,51.2
2,エキマエ,117.26,,48.6
3,パブロワ,117.32,,53.0
4,テスティコ,118.04,,50.7
5,トゥインクリング,117.47,,53.6
6,メイショウスミトモ,116.56,,52.5
7,タマモネイヴィー,117.54,,51.6
8,アスペンツリー,116.14,,49.8
9,ヴァイスヴァーサ,118.21,,49.4
10,グランドサッシュ,117.42,,51.2
11,カシノカーム,118.16,,46.8
12,アンバーロード,118.12,,40.1
13,サトノスーペリア,116.92,,53.4
14,グラスプリマ,117.45,,48.1
2013120806050408,中山,1800,ダート,良
1,ネオヴァンデロア,117.04,,54.9
2,リリコレッジェーロ,116.15,,51.5
3,トゥールモンド,116.20,,46.0
4,マスタープラチナム,116.80,,45.5
5,バーディーイーグル,115.59,,59.1
6,デイジーバローズ,117.26,,50.1
7,モルダバイト,115.57,,56.3
8,ミラクルミイクン,116.98,,40.0
9,ナスノシベリウス,116.62,,57.8
10,ホクレアポパイ,117.07,,48.7
11,エルヘイロー,116.17,,46.4
12,ヤンキーソヴリン,115.46,,51.9
13,コウジョウ,115.83,,46.9
14,サンマルダーム,117.22,,46.5
15,アップルハウス,116.92,,46.5
16,ヘイローフォンテン,117.81,,52.1
2013120806050409,中山,1200,ダート,良
