2013120706050301,中山,1200,ダート,良
1,アポロダイナスティ,74.87,,55.5
2,ダテノトライアンフ,73.83,,50.8
3,ゴールドクレセント,73.86,,47.2
4,フィアスゴッド,74.84,,44.4
5,ジューヌノーブル,74.34,,41.8
6,ヒラボクボーノ,74.74,,54.2
7,デルマオソマツ,74.09,,56.4
8,シュヴァルベ,74.63,,47.3
9,ブラックメイプル,73.87,,49.4
10,オードヴィ,73.90,,65.8
11,カプチーノ,74.05,,42.9
12,サマーラヴ,74.88,,50.3
13,キョウエイハピネス,73.49,,50.6
14,コスモピンチョス,74.01,,47.9
15,ファビン,73.95,,48.0
16,トマトリコピン,75.06,,47.4
2013120706050302,中山,1800,ダート,良
1,ウインサラ,120.39,,47.7
2,マユラウインド,120.44,,46.0
3,キラリ,120.80,,47.0
4,ロトラトゥール,118.38,,55.6
5,ユーカリノカゼ,120.65,,50.4
6,ランデックハーツ,120.19,,50.4
7,サイモンジャスミン,120.10,,51.1
8,シャイニーパティオ,121.50,,48.3
9,モンサンレグルス,121.33,,48.6
10,ユニバーサルビーチ,119.22,,54.0
11,ラフェットデメール,120.69,,49.9
12,ノースファイヤー,120.16,,49.9
13,ヒムカ,119.72,,52.1
14,ラブキュール,121.06,,46.4
15,クラシックセーラ,120.22,,52.5
2013120706050303,中山,1600,芝,良
1,マイネルゲール,96.17,,43.1
2,オウトラヴェス,95.72,,47.8
3,ウインエレメント,94.80,,60.6
4,ノアカンパニー,96.23,,50.6
5,サトノジェイド,95.63,,45.0
6,マイネルジパング,95.45,,47.6
7,メドウヒルズ,95.73,,58.5
8,ドリスバローズ,96.32,,48.5
9,セルバンテス,95.78,,58.7
10,ワイレアゴールド,96.14,,51.3
11,トウカイシンボル,97.47,,46.4
12,イーグルアモン,96.63,,38.0
13,サクラカルナバル,95.12,,46.1
14,ホルボッシュ,95.79,,50.2
15,ゴーストペッパー,97.84,,49.4
16,アペルトゥーラ,95.76,,58.4
2013120706050304,中山,2000,芝,良
1,マイネルヴェルス,124.61,,49.7
2,ヒラボクマキシム,125.52,,46.7
3,ウインミラグロス,123.95,,50.1
4,パイストロピカル,124.52,,36.6
5,レッドクラリス,123.58,,57.6
6,ラインカグラ,124.56,,61.6
7,センノイギダー,125.04,,42.1
8,ピーキー,123.32,,54.3
