1,アルマオプティ,,,,,,
2,グッドヘルスバイオ,,,,,,
3,ハニーウィル,,,,,,
4,レッドコンシール,,,,,,
5,エイシンオーディン,,,,,,
6,ファイアーボーラー,,,,,,
7,グランプリワン,,,,,,
8,イノセント,,,,,,
9,パープルヌーン,,,,,,
10,ビオレイメル,,,,,,
11,アスカリ,,,,,,
12,ライクアヘニー,,,,,,
1,メイショウクライム,,,,,,
2,プランドラー,,,,,,
3,ウインアライバル,,,,,,
4,ケイツーテソーロ,,,,,,
5,ブルベアベージュ,,,,,,
6,スマートユニバンス,,,,,,
7,マイネルリャードフ,,,,,,
8,マイネルジャーニー,,,,,,
9,エールヴォア,,,,,,
10,ギルマ,,,,,,
1,ビップヴァリアント,,,,,,
2,ラントカルテ,,,,,,
3,タイキオデッセイ,,,,,,
4,スパニッシュフライ,,,,,,
5,タガノリボンチャン,,,,,,
6,レンブランサ,,,,,,
7,ダイヤモンドベガ,,,,,,
8,ケイティーズソレル,,,,,,
9,メイショウワザモノ,,,,,,
10,スパーダドーロ,,,,,,
11,パープルヒストリー,,,,,,
12,レインムーン,,,,,,
13,スターズテソーロ,,,,,,
14,モンスリール,,,,,,
15,スピンドクター,,,,,,
16,ニコール,,,,,,
1,ヤマニンマンドール,,,,,,
2,ニホンピロボーラー,,,,,,
3,トゥルーハート,,,,,,
4,メイショウゴウキ,,,,,,
5,シゲルサツマイモ,,,,,,
6,メイショウアドリア,,,,,,
1,ダイリュウボーラー,,,,,,
2,メイショウベリー,,,,,,
3,タガノプリマベーラ,,,,,,
4,メイショウケイメイ,,,,,,
5,ドウドウキリシマ,,,,,,
6,シュンカジョウ,,,,,,
7,スズカルージュ,,,,,,
8,テンノイセヒメ,,,,,,
9,エルガナドール,,,,,,
10,スキップ,,,,,,
11,イエローアイ,,,,,,
12,ルリアンフォール,,,,,,
13,モグモグタイム,,,,,,
1,レディギャング,,,,,,
2,ワンダースニュマン,,,,,,
3,アテンフラワー,,,,,,
4,サンシャーロット,,,,,,
5,プリヴェット,,,,,,
6,ナイスドゥ,,,,,,
7,エテルニテ,,,,,,
8,タイムレスメロディ,,,,,,
9,ダイシンステルラ,,,,,,
10,ダンツチョイス,,,,,,
11,サンクララ,,,,,,
12,マイウェイアムール,,,,,,
13,シャワーブーケ,,,,,,
14,タガノリアン,,,,,,
15,オーロスターキス,,,,,,
16,ワンダーリアス,,,,,,
1,ラドルクス,,,,,,
2,ワイプティアーズ,,,,,,
3,リリーモントルー,,,,,,
4,ミッキーロイヤル,,,,,,
5,カフジグローリー,,,,,,
6,サトノガーネット,,,,,,
7,ハギノカエラ,,,,,,
8,アグネススターダム,,,,,,
9,オーダードリブン,,,,,,
10,ブルービューティ,,,,,,
11,ダノンフォーチュン,,,,,,
12,ドラゴンマジック,,,,,,
13,アサケハーツ,,,,,,
14,ディープウォーリア,,,,,,
15,ラントシャフト,,,,,,
16,ディランフィールド,,,,,,
17,タニノミステリー,,,,,,
18,プルンクザール,,,,,,
1,サンティーニ,,,,,,
2,エスプリゾーン,,,,,,
3,チャーチタウン,,,,,,
4,ビップベリンダ,,,,,,
5,フォースライン,,,,,,
6,サヤネエ,,,,,,
7,ミトノブラック,,,,,,
8,エペルネ,,,,,,
9,セルバンテスカズマ,,,,,,
10,パキュートハート,,,,,,
11,エターナルソウル,,,,,,
12,メイショウタカトラ,,,,,,
13,ロッタラブ,,,,,,
14,アサカディスタンス,,,,,,
15,リズロン,,,,,,
16,スズカガルチ,,,,,,
1,オースオブオフィス,,,,,,
2,スティルウォーター,,,,,,
3,フォイヤーヴェルク,,,,,,
4,レッドストーリア,,,,,,
5,アロマドゥルセ,,,,,,
6,ダイシンロイ,,,,,,
7,アフリカンゴールド,,,,,,
8,メイショウホウトウ,,,,,,
1,ブロワ,,,,,,
2,オーヴィレール,,,,,,
3,クラウンルシフェル,,,,,,
4,カイザーメランジェ,,,,,,
5,ブライティアレディ,,,,,,
6,ヤマカツグレース,,,,,,
7,ゲンキチハヤブサ,,,,,,
8,サフランハート,,,,,,
9,ブラッククローバー,,,,,,
1,テイエムイナズマ,,,,,,
2,ブラックスピネル,,,,,,
3,リバティハイツ,,,,,,
4,ベステンダンク,,,,,,
5,プリメラアスール,,,,,,
6,デンコウアンジュ,,,,,,
7,ミエノサクシード,,,,,,
1,アロマティカス,,,,,,
2,ストーミーバローズ,,,,,,
3,スマイルフォース,,,,,,
4,アンナペレンナ,,,,,,
5,ピナクルズ,,,,,,
6,ヘヴントゥナイト,,,,,,
7,カブキモノ,,,,,,
8,コンプリートベスト,,,,,,
9,レントラー,,,,,,
10,マイネルカイノン,,,,,,
11,アガスティア,,,,,,
12,テイエムチューハイ,,,,,,
13,ルドルフィーナ,,,,,,
14,サンマルスカイ,,,,,,
15,スズカフロンティア,,,,,,
