RAA20121212201212114208021050000マルチフェイス特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          マルチフェイス特別（マルチフェイマルチ0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    00040000000120000000680000005200000040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121210200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001012,6,3,1,2,8,5,9,11,4,7,10                                            2012,6,3,2,1,8,5,4,9,11,7,10                                            3012,6,3,1,2,8,5,11,10,4,9,7                                            4012,6,1,3,2,5,11,8,10,4,9,7                                            0
RAA20121214201212134208040370000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　　　　　サラ系３歳　サラ系0000  120000000000000000000８０万上１０１万未満　　　　　　　　　　　　　　　　　　　　140000002300    0001000000003000000017000000130000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,5,7,4,12,3,8,6,2,10,11,9                                            201,5,3,7,12,4,2,6,8,10,11,9                                            305,1,7,12,3,2,9,4,10,6,11,8                                            405,7,9,1,2,3,12,10,8,11,4,6                                            0
RAA20121211201212104208010540000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　　　　　サラ系３歳　サラ系0000  120000000000000000000１５４万上１８０万未満　　　　　　　　　　　　　　　　　　　140000002300    0001000000003000000017000000130000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,4,12,9,1,8,5,3,10,7,11,6                                            202,4,12,9,1,8,5,10,3,7,6,11                                            302,4,1,12,9,8,3,5,10,7,6,11                                            402,1,4,9,7,3,5,10,8,6,12,11                                            0
RAA20121212201212114208020850000特選　Ｃ２二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     特選　Ｃ２二　　　　特選　Ｃ２二特選　0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0001100000003300000018700000143000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,10,1,6,11,2,7,4,9,3,5,12                                            208,10,1,2,11,6,7,4,9,3,5,12                                            3010,1,8,9,2,12,11,7,6,4,5,3                                            4010,1,8,9,2,11,7,12,6,5,3,4                                            0
RAA20121211201212104208010640000サラ系一般　Ｃ２五　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２五　サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0001000000003000000017000000130000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,8,12,4,9,1,6,7,3,5,10,11                                            202,8,(4,12),9,1,6,7,3,5,11,10                                          302,4,8,12,6,9,7,3,1,5,11,10                                            402,4,6,(7,9),3,8,12,5,1,11,10                                          0
RAA20121226201212254209011050000冬休み特別　Ｃ２二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          冬休み特別　Ｃ２二　冬休み特別　冬休み0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0001600000004800000027200000208000001600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,7,4,6,3,10,8,5,2,11,9,12                                            201,6,3,7,4,2,10,8,5,9,11,12                                            306,1,7,10,8,3,5,11,12,2,9,4                                            406,7,10,8,1,3,12,2,5,9,11,4                                            0
RAA20121215201212144208051080000冬萌特別　Ｂ２Ｂ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          冬萌特別　Ｂ２Ｂ３　冬萌特別　Ｂ冬萌特0000E 000001000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0002400000007200000040800000312000002400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,11,5,1,9,6,4,12,8,10,7                                              203,11,1,5,9,4,6,12,8,10,7                                              303,11,5,1,9,6,12,4,10,8,7                                              403,5,11,1,9,12,10,8,4,6,7                                              0
RAA20121226201212254209010550000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　　　　　サラ系３歳　サラ系0000  120000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0001000000003000000017000000130000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,6,11,3,12,10,1,7,2,9,8,5                                            206,4,11,3,(10,12),1,7,2,9,8,5                                          304,11,6,10,12,9,3,7,1,2,8,5                                            4011,4,10,12,9,6,3,1,7,2,8,5                                            0
RAA20121211201212104208010840000サラ系一般　Ｃ１六　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１六　サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0001100000003300000018700000143000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,4,5,1,11,7,3,8,9,6,12,10                                            202,4,5,1,7,11,8,3,9,6,12,10                                            302,1,4,5,7,11,8,6,9,3,12,10                                            401,2,7,4,6,5,8,9,11,12,3,10                                            0
RAA20121211201212104208011040000冬菊特別　Ｂ３一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          冬菊特別　Ｂ３一　　冬菊特別　Ｂ冬菊特0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0002200000006600000037400000286000002200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,4,5,1,6,3,11,9,7,2,12,10                                            208,4,5,1,6,3,11,9,7,2,12,10                                            305,8,6,11,4,1,3,9,2,7,12,10                                            405,11,6,8,1,3,9,4,12,2,7,10                                            0
