RAA20120309201203084825040470000大介＆良子結婚４周年記念　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               大介＆良子結婚４周年大介＆良子結大介＆0000E 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000380000000760000003800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,7,8,4,6,9,3,5,2                                                     201,7,8,4,3,6,9,5,2                                                     301,7,8,3,4,(5,6,9),2                                                   40(1,7),8,3,4,9,5,6,2                                                   0
RAA20120322201203214826030360000サラＣ１９組　Ｃ１９　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ１９組　Ｃ１９サラＣ１９組サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　080000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000305,(6,8),1,4,9,7,3,2                                                   408,5,6,9,1,4,3,7,2                                                     00                                                                      00                                                                      0
RAA20120324201203234826050280000サラ３歳８組　８　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ３歳８組　８　　サラ３歳８組サラ３0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000210000000420000002100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909094020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,5,9,2,4,1,8,3,7                                                     206,5,(2,9),4,3,1,8,7                                                   306,5,2,9,3,4,1,8,7                                                     406,(2,5),3,9,4,1,8,7                                                   0
RAA20120324201203234826050780000賢＆彩矢佳結婚記念　Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     賢＆彩矢佳結婚記念　賢＆彩矢佳結賢＆彩0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808083030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,(1,8),2,4,3,5,6                                                     207,1,(4,8),2,3,6,5                                                     307,6,1,8,3,4,5,2                                                       407,6,3,8,1,2,4,5                                                       0
RAA20120306201203054825010740000サヨナラ佐藤ヨロシク笹嶋記念　Ｃ２７　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サヨナラ佐藤ヨロシクサヨナラ佐藤サヨナ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010103040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,9,1,3,4,5,7,8,6,10                                                  202,9,(1,3),(4,5),(7,8),6,10                                            302,(3,8),5,1,4,9,7,6,10                                                402,3,8,1,5,6,4,7,9,10                                                  0
RAA20120307201203064825020150000サラＣ２５組　Ｃ２５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ２５組　Ｃ２５サラＣ２５組サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,6,8,4,2,3,7,1                                                       205,6,8,(2,4),3,7,1                                                     305,(6,8),(2,4),1,3,7                                                   405,8,2,6,4,3,1,7                                                       0
RAA20120310201203094825050380000サラＣ７組　Ｃ７　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ７組　Ｃ７　　サラＣ７組　サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000908084030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,8,3,2,7,1,4,9                                                       205,8,(2,3),(1,7),4,9                                                   305,8,3,7,2,1,4,9                                                       405,8,3,7,2,1,4,9                                                       0
RAA20120320201203194826010940000春暖特別　Ｂ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          春暖特別　Ｂ２　　　春暖特別　Ｂ春暖特0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000220000000440000002200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,1,2,5,4,3,6,9,7                                                     208,1,2,(4,5),6,3,7,9                                                   308,1,2,4,(5,6),3,9,7                                                   408,1,2,6,4,3,5,9,7                                                     0
RAA20120322201203214826030760000『まるちゃん退職記念』　Ｃ１５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     『まるちゃん退職記念『まるちゃん『まる0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000140000000280000001400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,5,9,4,8,3,6,7,1                                                     202,5,9,4,8,3,6,1,7                                                     302,5,9,4,8,3,6,1,7                                                     402,5,9,4,8,3,6,7,1                                                     0
RAA20120322201203214826030860000東日本大震災私たちは忘れない！　Ｃ１４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     東日本大震災私たちは東日本大震災東日本0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000140000000280000001400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,5,8,3,9,1,4,10,7,6                                                  202,5,8,(1,3,9),4,10,6,7                                                305,(2,8),(1,3,9),4,7,10,6                                              405,8,1,9,2,3,4,7,10,6                                                  0
RAA20120307201203064825020850000ひでおさん退職おつかれさま記念　Ｂ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ひでおさん退職おつかひでおさん退ひでお0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000140000000280000001400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,8,6,1,2,5,4,3                                                       207,8,6,1,(2,5),4,3                                                     307,8,6,1,5,2,4,3                                                       408,7,6,1,5,3,4,2                                                       0
RAA20120321201203204826020950000東日本大震災私たちは忘れない！　Ｂ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     東日本大震災私たちは東日本大震災東日本0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000140000000280000001400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,8,10,5,7,9,3,4,1,2                                                  206,8,(5,10),7,9,3,4,1,2                                                306,8,10,(5,7),9,3,4,2,1                                                406,8,10,5,7,9,2,3,4,1                                                  0
RAA20120323201203224826040370000サラＣ１３組　Ｃ１３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ１３組　Ｃ１３サラＣ１３組サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,5,9,4,6,1,3,7,8                                                     202,5,(4,9),6,1,3,7,8                                                   302,(5,6,9),4,3,7,1,8                                                   402,6,9,4,5,3,7,1,8                                                     0
RAA20120307201203064825020650000サラＣ２１組　Ｃ２１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ２１組　Ｃ２１サラＣ２１組サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,7,10,2,4,1,9,5,8,3                                                  206,7,10,2,(1,4,9),5,8,3                                                306,7,10,2,4,1,9,8,5,3                                                  406,7,10,2,4,1,9,8,3,5                                                  0
RAA20120310201203094825050480000サラＣ６組　Ｃ６　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ６組　Ｃ６　　サラＣ６組　サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　080000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909094040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000301,6,8,(3,4,7),5,9,2                                                   401,8,6,3,4,5,9,7,2                                                     00                                                                      00                                                                      0
RAA20120310201203094825050680000サラＣ４組　Ｃ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ４組　Ｃ４　　サラＣ４組　サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010104040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,4,5,1,8,9,3,7,10,6                                                  202,4,5,1,8,3,9,7,10,6                                                  302,4,5,1,7,8,9,3,10,6                                                  402,5,4,1,7,9,8,3,10,6                                                  0
RAA20120321201203204826020850000フルマラソン初完走記念　Ｃ２０　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     フルマラソン初完走記フルマラソンフルマ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00001300000002600000013000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010101010300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,4,7,8,6,9,3,2,5,1                                                  2010,7,(4,8),6,9,5,1,2,3                                                3010,7,8,1,4,9,6,5,2,3                                                  407,8,1,10,9,(4,5,6),2,3                                                0
RAA20120324201203234826050680000ＭＪＣ競馬部賞有川遥入園記念　Ｃ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ＭＪＣ競馬部賞有川遥ＭＪＣ競馬部ＭＪＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010103030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,8,(4,5,9),7,2,6,3,10                                                201,8,5,(4,9),7,2,6,3,10                                                301,5,8,4,7,9,6,2,3,10                                                  401,5,7,4,8,3,2,6,10,9                                                  0
RAA20120324201203234826051080000菜の花特別　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          菜の花特別　Ｃ１　　菜の花特別　菜の花0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000190000000380000001900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909093030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,1,5,7,2,4,6,3,9                                                     208,1,(2,5),7,4,9,3,6                                                   308,1,5,(2,7),4,9,6,3                                                   408,1,5,2,7,3,9,4,6                                                     0
RAA20120306201203054825010640000東日本大震災私たちは忘れない！　Ｃ２８　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     東日本大震災私たちは東日本大震災東日本0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　080000002400    000013000000026000000130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101010304000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(4,5),3,8,10,9,6,2,7,1                                                404,10,8,6,5,9,3,2,7,1                                                  00                                                                      00                                                                      0
