RAA20120302201203014720040370000サラ系Ｃ１２・１５組　Ｃ１２１５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ１２・１５組サラ系Ｃ１２サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,6,8,10,5,2,9,1,4,7                                                  203,6,8,2,5,10,1,9,4,7                                                  303,6,8,1,2,10,5,9,4,7                                                  403,6,8,1,9,10,2,5,4,7                                                  0
RAA20120315201203144721020860000つくし賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          つくし賞（中央交流）つくし賞（中つくし0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000370000000930000003700000023000000150000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,2,5,7,6,1,8,9,10,3                                                  202,4,5,6,7,1,9,8,3,10                                                  305,6,9,4,2,7,1,8,3,10                                                  405,6,9,4,7,2,1,8,3,10                                                  0
RAA20120315201203144721020960000春蘭特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          春蘭特別（中央交流）春蘭特別（中春蘭特0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000410000001030000004100000025000000170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,5,6,10,8,3,7,4,2,9                                                  201,5,10,6,3,8,7,4,2,9                                                  301,5,10,6,3,8,7,4,2,9                                                  401,5,10,6,3,8,7,4,2,9                                                  0
RAA20120315201203144721020360000愛Ｌｏｖｅ笠松けいば　Ｃ２０　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     愛Ｌｏｖｅ笠松けいば愛Ｌｏｖｅ笠愛Ｌｏ0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,2,3,5,4,9,1,7,10                                                    206,3,2,5,9,4,1,7,10                                                    304,6,2,3,9,5,7,1,10                                                    406,4,2,9,3,5,10,7,1                                                    0
RAA20120315201203144721020760000サラ系３歳１組特別　１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               サラ系３歳１組特別　サラ系３歳１サラ系0000E 120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000330000000660000003300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000707071010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,2,4,7,3,5,1                                                         206,2,4,3,7,5,1                                                         306,2,4,3,7,5,1                                                         406,2,4,3,7,5,1                                                         0
RAA20120316201203154721030370000Ｔｈａｎｋｓ笠松けいば　Ｃ１６　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｔｈａｎｋｓ笠松けいＴｈａｎｋｓＴｈａ0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,5,8,6,3,1,10,4,2,7                                                  209,5,8,6,3,1,10,4,2,7                                                  309,5,8,3,6,1,10,4,2,7                                                  409,5,8,3,1,10,6,4,2,7                                                  0
RAA20120317201203164721041180000橘特別　Ｃ１１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          橘特別　Ｃ１１　　　橘特別　Ｃ１橘特別0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    00001700000003400000017000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010101020100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,6,5,4,8,7,3,2,1,9                                                  2010,6,4,5,8,7,3,1,2,9                                                  3010,6,8,5,4,7,3,1,2,9                                                  4010,6,8,7,5,3,4,1,2,9                                                  0
RAA20120328201203274721060650000笠松競馬発展祈念　Ｃ１９　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     笠松競馬発展祈念　Ｃ笠松競馬発展笠松競0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,6,9,10,3,8,2,5,7,4                                                  201,6,3,9,10,8,7,2,5,4                                                  301,6,10,3,9,8,2,7,5,4                                                  401,6,10,3,9,8,7,5,2,4                                                  0
RAA20120328201203274721060750000サラ系Ｃ１７組　Ｃ１７　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ１７組　Ｃ１サラ系Ｃ１７サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,7,9,1,10,2,3,4,8,5                                                  206,7,1,9,10,2,3,4,8,5                                                  306,7,9,1,2,3,10,4,8,5                                                  406,7,1,2,4,3,9,10,8,5                                                  0
RAA20120317201203164721040680000ＧｏＧｏ笠松けいば　Ｃ５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ＧｏＧｏ笠松けいば　ＧｏＧｏ笠松ＧｏＧ0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,3,8,10,1,4,7,2,9,6                                                  203,5,10,1,8,4,2,7,9,6                                                  303,10,5,4,1,8,7,2,6,9                                                  403,4,10,7,1,5,2,8,6,9                                                  0
