RAA20120712201207114706010960000あじめ峡賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          あじめ峡賞（中央交流あじめ峡賞（あじめ0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000370000000930000003700000023000000150000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010103010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,10,3,4,8,7,1,5,2,9                                                  206,10,3,4,7,8,1,5,9,2                                                  3010,6,3,7,4,1,8,5,9,2                                                  4010,6,3,7,4,1,8,5,9,2                                                  0
RAA20120713201207124706020970000サラ系Ｂ３組　Ｂ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｂ３組　Ｂ３　サラ系Ｂ３組サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000150000000300000001500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,5,3,8,6,10,1,2,9,7                                                  204,5,3,8,6,10,2,1,9,7                                                  304,5,6,3,8,10,2,9,1,7                                                  405,6,4,3,8,9,2,10,1,7                                                  0
RAA20120724201207234707010840000サラ系Ｂ３組　Ｂ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｂ３組　Ｂ３　サラ系Ｂ３組サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000140000000280000001400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,9,1,5,6,8,3,7,4                                                     202,9,1,5,6,8,3,7,4                                                     302,9,1,6,8,5,3,7,4                                                     402,9,1,6,8,3,5,7,4                                                     0
RAA20120712201207114706010660000サラ系Ｃ８組　Ｃ８　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ８組　Ｃ８　サラ系Ｃ８組サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,8,9,1,10,2,6,3,5,7                                                  204,8,9,1,2,10,6,3,5,7                                                  304,8,9,1,10,2,3,6,7,5                                                  408,9,4,1,2,10,3,6,7,5                                                  0
RAA20120713201207124706020370000新馬戦　２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD NEWCOMER                                                                                                                                                                                                                                                                                                                                                   新馬戦　２　　　　　新馬戦　２　新馬戦0000  110000000000000000000サラ系２歳　新馬　　　　　　　　　　　　　　　　　　　　　　080000002400    0000500000001250000006500000035000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000606063040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000305,6,4,3,2,1                                                           405,4,6,3,2,1                                                           00                                                                      00                                                                      0
RAA20120726201207254707021060000あさがお特別　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          あさがお特別　Ｃ１　あさがお特別あさが0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000190000000380000001900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,4,8,9,10,7,6,2,5,3                                                  201,4,8,9,10,7,6,5,2,3                                                  301,4,10,8,9,7,6,2,5,3                                                  401,10,4,7,9,6,8,2,5,3                                                  0
RAA20120728201207274707040280000サラ系２歳１組　１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            サラ系２歳１組　１　サラ系２歳１サラ系0000  110000000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000350000000700000003500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,8,1,7,9,6,2,3,4                                                     205,8,1,7,6,9,2,3,4                                                     305,8,1,6,7,2,9,3,4                                                     401,(5,8),2,7,6,3,4,9                                                   0
RAA20120712201207114706010160000サラ系３歳５組　５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳５組　５　サラ系３歳５サラ系0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000180000000360000001800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,5,3,10,7,2,9,1,4,6                                                  208,5,2,3,10,7,9,1,4,6                                                  308,5,10,3,2,9,7,1,6,4                                                  403,8,10,2,5,9,7,6,1,4                                                  0
RAA20120724201207234707010340000サラ系３歳５組　５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳５組　５　サラ系３歳５サラ系0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000180000000360000001800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,9,7,1,2,4,8,5,3                                                     206,9,7,2,1,4,8,3,5                                                     306,9,7,2,1,4,8,3,5                                                     409,6,7,1,2,4,8,3,5                                                     0
RAA20120712201207114706010360000サラ系３歳３組　３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳３組　３　サラ系３歳３サラ系0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000180000000360000001800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,6,10,9,4,5,8,1,2,7                                                  203,6,10,4,9,5,1,8,2,7                                                  303,6,10,9,4,5,2,1,8,7                                                  4010,6,3,9,4,5,2,1,8,7                                                  0
RAA20120724201207234707010240000サラ系３歳６組　６　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳６組　６　サラ系３歳６サラ系0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000180000000360000001800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808082010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,8,5,7,4,2,3,1                                                       206,8,5,7,4,2,3,1                                                       306,8,5,4,2,7,3,1                                                       408,6,5,4,2,7,3,1                                                       0
RAA20120726201207254707020260000サラ系３歳３組　３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳３組　３　サラ系３歳３サラ系0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000180000000360000001800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,6,7,1,10,2,9,4,5,8                                                  203,6,7,1,2,10,9,4,5,8                                                  303,6,7,1,2,10,9,4,5,8                                                  403,6,7,1,2,9,4,10,5,8                                                  0
RAA20120713201207124706020870000サラ系Ｃ９組　Ｃ９　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ９組　Ｃ９　サラ系Ｃ９組サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,6,7,8,2,4,9,10,1,5                                                  203,6,2,7,4,9,8,10,1,5                                                  303,6,9,7,2,4,8,10,1,5                                                  403,6,9,2,7,4,8,5,10,1                                                  0
RAA20120724201207234707010540000サラ系Ｃ７組　Ｃ７　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ７組　Ｃ７　サラ系Ｃ７組サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808082010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,8,7,1,4,3,5,2                                                       206,8,7,4,1,3,2,5                                                       306,8,4,3,1,7,2,5                                                       406,8,3,1,7,4,5,2                                                       0
RAA20120714201207134706030680000サラ系３歳１組特選　１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳１組特選　サラ系３歳１サラ系0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000240000000480000002400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,6,7,3,5,1,4,8,9                                                     202,6,7,3,1,5,4,9,8                                                     302,3,6,5,7,4,1,9,8                                                     402,3,5,6,4,1,7,9,8                                                     0
