RAA20120227201202265321020920000福山牝馬特別　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FUKUYAMA HIMBA TOKUBETSU                                                                                                                                                                                                                                                                                                                                                福山牝馬特別　　　　福山牝馬特別福山牝0000D 140002000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0002000000004600000018000000100000000600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,6,7,4,9,3,10,2,8,1                                                  205,6,4,7,9,3,10,2,8,1                                                  305,6,7,4,8,10,9,1,3,2                                                  405,(4,7,8),6,9,10,1,2,3                                                0
RAA20120207201202065319041140000サラ系一般　Ｂ３一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｂ３一　サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000160000000320000001600000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,8,9,(1,5),3,2,6,7                                                   204,(8,9),1,5,2,3,7,6                                                   304,9,5,1,(2,3,8),7,6                                                   404,5,9,1,2,3,8,7,6                                                     0
RAA20120226201202255321011010000アネモネ特別　Ｂ１二Ｂ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          アネモネ特別　Ｂ１二アネモネ特別アネモ0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000160000000320000001600000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,6,8,1,7,(3,4,9),2                                                   205,6,8,1,(7,9),(2,3,4)                                                 305,8,9,6,1,(2,7),(3,4)                                                 40(5,8),9,1,2,(3,6),7,4                                                 0
