RAA20120518201205173002040570000フレッシュＣｈ（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD NEWCOMER                                                                                                                                                                                                                                                                                                                                                   フレッシュＣｈ（中央フレッシュＣフレッ0000  110004000000000000000サラ系２歳　新馬　　　　　　　　　　　　　　　　　　　　　　170000002400    000150000000300000002250000015000000075000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000090909102000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(1,3,6,7,8,9),4,2,5                                                   20(3,7),8,6,1,9,4,(2,5)                                                 30(3,7,8),1,4,9,2,(5,6)                                                 40(1,3,8),(4,7),9,(2,5),6                                               0
RAA20120523201205173002041270000エトワール賞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　ETOILE SHO                                                                                                                                                                                                                                                                                                                                                              エトワール賞　　　　エトワール賞エトワ0000D 000002000000000000000サラ系一般　ＯＰ　　　　　　　　　　　　　　　　　　　　　　120000002400    000150000000300000002250000015000000075000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000121212102000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(5,7,10),(2,3,4,6),11,1,(8,9,12)                                      407,(5,10),2,(3,6),11,(1,4,12),(8,9)                                    00                                                                      00                                                                      0
RAA20120524201205233003011260000ローレルゲレイロ賞　条件　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD OP)                                                                                                                                                                                                                                                                                                                                            ローレルゲレイロ賞　ローレルゲレローレ0000E 120002000000000000000サラ系３歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　120000002400    0000500000001000000007500000050000000250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808082010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000305,6,(4,7),2,1,3,8                                                     405,(4,6,7),(1,2,3),8                                                   00                                                                      00                                                                      0
RAA20120531201205303003030360000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            サラ系２歳　　　　　サラ系２歳　サラ系0000  110004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    000030000000060000000450000003000000015000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000121111101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(1,6),(5,11),(2,10),(3,4,9,12),8                                      40(1,6),(2,5,11),3,(4,10),9,12,8                                        00                                                                      00                                                                      0
RAA20120531201205303003030460000フレッシュＣｈ（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD NEWCOMER                                                                                                                                                                                                                                                                                                                                                   フレッシュＣｈ（中央フレッシュＣフレッ0000  110004000000000000000サラ系２歳　新馬　　　　　　　　　　　　　　　　　　　　　　120000002400    0001500000003000000022500000150000000750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000301,(9,10),7,(2,8),(4,6),3,5                                            401,(9,10),(2,7),8,4,6,3,5                                              00                                                                      00                                                                      0
RAA20120531201205303003030560000フレッシュＣｈ（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD NEWCOMER                                                                                                                                                                                                                                                                                                                                                   フレッシュＣｈ（中央フレッシュＣフレッ0000  110004000000000000000サラ系２歳　新馬　　　　　　　　　　　　　　　　　　　　　　120000002400    000150000000300000002250000015000000075000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000090909101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(1,2,9),8,(3,4,5),6,7                                                 401,(2,8,9),3,(4,5,6),7                                                 00                                                                      00                                                                      0
RAA20120601201205313003040570000フレッシュＣｈ（中央認定）　牝馬　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD NEWCOMER                                                                                                                                                                                                                                                                                                                                                   フレッシュＣｈ（中央フレッシュＣフレッ0000  110004000000000000000サラ系２歳　新馬　　　　　　　　　　　　　　　　　　　　　　120000002400    0001500000003000000022500000150000000750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000302,10,(7,11),8,12,6,9,3,1,5,4                                          40(2,10),11,7,8,(6,9),12,3,(1,5),4                                      00                                                                      00                                                                      0
RAA20120518201205173002040870000芍薬特別　Ｃ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          芍薬特別　Ｃ４　　　芍薬特別　Ｃ芍薬特0000E 000004000000000000000サラ系一般　８０万下　　　　　　　　　　　　　　　　　　　　170000002400    0000200000000320000002400000016000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000908081020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,(2,5),7,(1,6),8,4                                                   203,(2,5),(1,6,7),8,4                                                   303,2,6,(5,7),1,8,4                                                     403,2,(5,6,7),(1,8),4                                                   0
RAA20120510201205093002011160000ソングオブウインド賞　Ｂ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          ソングオブウインド賞ソングオブウソング0000E 000002000000000000000サラ系一般　２５０万下　　　　　　　　　　　　　　　　　　　180000002400    0000400000000800000006000000040000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,1,(2,6),4,(5,8),(3,10),7                                            209,(1,2),6,4,(5,8,10),(3,7)                                            309,(1,2,6),(4,5),7,10,8,3                                              409,6,2,(1,4),(5,10),7,8,3                                              0
RAA20120524201205233003011160000ふたご座特別　Ｂ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          ふたご座特別　Ｂ４　ふたご座特別ふたご0000E 000002000000000000000サラ系一般　２５０万下　　　　　　　　　　　　　　　　　　　180000002400    0000400000000800000006000000040000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,2,5,6,8,4,(7,9),3                                                   201,2,5,6,8,4,9,(3,7)                                                   301,2,5,6,(4,7,8,9),3                                                   401,2,(6,7),5,(3,4,9),8                                                 0
RAA20120517201205163002030560000フレッシュＣｈ（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD NEWCOMER                                                                                                                                                                                                                                                                                                                                                   フレッシュＣｈ（中央フレッシュＣフレッ0000  110004000000000000000サラ系２歳　新馬　　　　　　　　　　　　　　　　　　　　　　120000002400    000150000000300000002250000015000000075000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000090909202000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(1,3),5,9,4,6,8,(2,7)                                                 40(1,3,5),9,4,6,8,(2,7)                                                 00                                                                      00                                                                      0
RAA20120531201205303003030860000アタックＣｈ（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            アタックＣｈ（中央認アタックＣｈアタッ0000  110004000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    000080000000160000001200000008000000040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(4,6,9),(3,7,8),(5,10),2,11,1                                         404,(6,8,9),3,(5,7),10,2,11,1                                           00                                                                      00                                                                      0
RAA20120504201205033001030870000サラ系一般　Ｃ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ４　　サラ系一般　サラ系0000  000004000000000000000８０万下　　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    000015000000024000000180000001200000006000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000121010302000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(10,11),12,1,(2,3),(5,7),4,6                                          4010,12,11,1,2,3,(4,7),(5,6)                                            00                                                                      00                                                                      0
RAA20120510201205093002010360000サラ系一般　Ｃ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ４　　サラ系一般　サラ系0000  000004000000000000000８０万下　　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0000150000000240000001800000012000000060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000302,10,(3,4),(7,8),6,1,9,5                                              40(2,10),(3,4),(7,8),6,1,9,5                                            00                                                                      00                                                                      0
RAA20120510201205093002010660000フレッシュＣｈ（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD NEWCOMER                                                                                                                                                                                                                                                                                                                                                   フレッシュＣｈ（中央フレッシュＣフレッ0000  110004000000000000000サラ系２歳　新馬　　　　　　　　　　　　　　　　　　　　　　100000002400    0001500000003000000022500000150000000750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000302,10,5,9,(1,7),11,8,3,4                                               402,10,1,7,5,9,4,(3,11),8                                               00                                                                      00                                                                      0
RAA20120525201205243003020670000フレッシュＣｈ（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD NEWCOMER                                                                                                                                                                                                                                                                                                                                                   フレッシュＣｈ（中央フレッシュＣフレッ0000  110004000000000000000サラ系２歳　新馬　　　　　　　　　　　　　　　　　　　　　　120000002400    0001500000003000000022500000150000000750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000303,(4,5),1,(6,7),2,8,9                                                 403,(1,4,5),2,6,(7,8),9                                                 00                                                                      00                                                                      0
RAA20120531201205303003030260000サラ系一般　Ｃ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ４　　サラ系一般　サラ系0000  000004000000000000000８０万下　　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    00001500000002400000018000000120000000600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121210100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003010,12,6,(5,8),2,9,4,1,(3,11),7                                        4010,12,(5,6,8),(2,9),(1,4),(3,11),7                                    00                                                                      00                                                                      0
RAA20120531201205303003030660000判官館森林公園賞　Ｃ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     判官館森林公園賞　Ｃ判官館森林公判官館0000  000004000000000000000サラ系一般　８０万下　　　　　　　　　　　　　　　　　　　　120000002400    000015000000024000000180000001200000006000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000121212101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(5,6,8),10,3,4,9,(7,11),1,2,12                                        40(5,6,8),10,3,(4,9),11,(1,7),2,12                                      00                                                                      00                                                                      0
RAA20120524201205233003010660000フレッシュＣｈ（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD NEWCOMER                                                                                                                                                                                                                                                                                                                                                   フレッシュＣｈ（中央フレッシュＣフレッ0000  110004000000000000000サラ系２歳　新馬　　　　　　　　　　　　　　　　　　　　　　100000002400    0001500000003000000022500000150000000750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111112010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000305,2,9,(1,4,10,11),8,3,7,6                                             40(2,5),(1,4),(9,11),8,(3,10),(6,7)                                     00                                                                      00                                                                      0
