RAA20121120201211193608030840000Ｂ２十組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｂ２十組　　　　　　Ｂ２十組　　Ｂ２十0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000190000000380000001900000014000000050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,8,6,3,1,2,10,5,4,7                                                  209,8,6,1,3,10,2,5,4,7                                                  309,(6,8),(1,3),10,(2,4,5),7                                            406,8,1,9,(3,4,10),2,5,7                                                0
RAA20121119201211173608010210000Ｃ２十二組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ２十二組　　　　　Ｃ２十二組　Ｃ２十0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000100000000200000001000000007000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,5,8,9,3,2,10,7,4,1                                                  205,6,9,8,3,10,2,7,4,1                                                  305,6,9,3,8,10,2,7,4,1                                                  406,9,5,3,8,10,4,2,7,1                                                  0
RAA20121118201211173608011010000ノベンバーＣ　Ｂ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          ノベンバーＣ　Ｂ２　ノベンバーＣノベン0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    000030000000060000000300000002100000009000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000121212201000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(2,4),5,7,6,1,9,12,3,10,8,11                                          202,4,1,3,5,6,7,9,8,12,10,11                                            302,4,1,(3,5,12),(9,10),(6,7,8),11                                      402,4,1,3,12,8,9,6,10,5,7,11                                            0
RAA20121119201211183608021020000南部駒賞（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　NAMBUKOMA SHO                                                                                                                                                                                                                                                                                                                                                           南部駒賞（中央認定）南部駒賞（中南部駒0000D 110000000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    000500000001150000006500000045000000250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111404000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(2,6),10,3,9,5,7,11,1,8,4                                             202,6,10,3,7,5,9,11,1,8,4                                               306,2,3,10,5,7,11,8,9,1,4                                               406,2,7,3,5,(8,10),11,1,9,4                                             0
RAA20121120201211193608030340000Ｃ２七組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ２七組　　　　　　Ｃ２七組　　Ｃ２七0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000100000000200000001000000007000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,(4,7,8),3,6,10,(1,9),2                                              205,4,7,8,3,9,1,6,2,10                                                  305,3,7,4,8,9,1,2,10,6                                                  40(3,5),4,7,8,1,9,10,2,6                                                0
RAA20121126201211243608040910000ＨＢＡ職員親睦会特別Ｃ１五組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ＨＢＡ職員親睦会特別ＨＢＡ職員親ＨＢＡ0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    00001600000003200000016000000120000000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010101020300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,6,8,1,7,4,5,3,(2,9)                                                2010,6,1,8,4,7,5,3,(2,9)                                                306,10,8,7,1,4,5,3,9,2                                                  406,10,(1,8),7,4,5,3,9,2                                                0
RAA20121126201211243608040210000Ｃ２六組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ２六組　　　　　　Ｃ２六組　　Ｃ２六0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000100000000200000001000000007000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,6,10,(1,8),9,4,7,3,5                                                202,6,1,10,4,8,9,3,7,5                                                  30(6,10),8,2,4,1,9,3,7,5                                                40(8,10),4,6,2,(1,3),9,7,5                                              0
RAA20121119201211173608010110000おかえりなさい水沢競馬Ｃ２十三組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     おかえりなさい水沢競おかえりなさおかえ0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    000010000000020000000100000000700000003000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101010201000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(1,10),9,(2,8),6,7,4,3,5                                              201,10,2,9,8,6,7,4,5,3                                                  301,10,9,2,8,7,6,5,4,3                                                  4010,9,1,2,8,7,5,6,3,4                                                  0
RAA20121126201211243608040510000選抜戦Ｃ２五組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     選抜戦Ｃ２五組　　　選抜戦Ｃ２五選抜戦0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    00001200000002400000012000000090000000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010101020300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,5,(4,6),8,(3,7),9,2,1                                              2010,5,4,6,3,8,7,9,1,2                                                  3010,5,4,8,6,3,9,2,7,1                                                  4010,5,4,8,3,6,1,9,7,2                                                  0
RAA20121120201211193608030240000Ｃ２八組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ２八組　　　　　　Ｃ２八組　　Ｃ２八0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000100000000200000001000000007000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,1,5,6,8,10,3,(7,9),4                                                201,2,3,5,7,6,10,8,9,4                                                  30(2,3),1,10,5,7,6,4,8,9                                                403,2,7,1,10,5,4,6,9,8                                                  0
