RAA20121203201212015315011010000「本日ＩＰＡＴ全レース発売中！」とく戦３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          「本日ＩＰＡＴ全レー「本日ＩＰＡ「本日0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　125000002400    00001600000003200000016000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010101010200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,6,3,7,8,4,5,2,(1,9)                                                2010,6,7,3,8,4,5,2,9,1                                                  3010,6,(7,8),3,5,4,2,9,1                                                40(6,10),(5,8),3,7,4,2,1,9                                              0
RAA20121209201212085315031110000「ファイナルとく戦」３歳条件６　６　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          「ファイナルとく戦」「ファイナル「ファ0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　125000002400    0000160000000320000001600000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,5,3,10,8,9,4,6,1,7                                                  202,5,3,10,8,9,4,6,1,7                                                  302,(3,5,10),8,9,4,6,(1,7)                                              402,(3,10),5,8,9,4,6,(1,7)                                              0
RAA20121203201212015315010210000３歳条件５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          ３歳条件５　　　　　３歳条件５　３歳条0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　125000002400    0000160000000320000001600000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,6,4,9,2,5,8,7,1                                                     203,(6,9),4,2,5,8,7,1                                                   303,9,5,6,4,2,8,1,7                                                     403,5,9,8,6,4,2,1,7                                                     0
RAA20121209201212085315030310000３歳条件５　５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          ３歳条件５　５　　　３歳条件５　３歳条0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　125000002400    0000160000000320000001600000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808082020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,2,6,3,7,4,8,5                                                       201,2,6,3,7,4,8,5                                                       301,2,3,6,(4,7),8,5                                                     40(1,2),3,6,7,4,8,5                                                     0
RAA20121203201212015315010410000３歳条件３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          ３歳条件３　　　　　３歳条件３　３歳条0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　125000002400    0000160000000320000001600000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,7,(1,3,10),9,5,8,6,2                                                20(4,7),3,10,(1,9),5,8,6,2                                              304,7,(3,10),(1,5,9),(6,8),2                                            404,7,3,5,(1,10),9,6,(2,8)                                              0
RAA20121209201212085315030410000３歳条件４　４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          ３歳条件４　４　　　３歳条件４　３歳条0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　125000002400    0000160000000320000001600000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,(1,3),8,2,9,5,7,6                                                   204,1,3,8,(2,9),5,7,6                                                   304,(1,3),8,(2,9),(5,6,7)                                               404,(1,3),8,2,9,6,5,7                                                   0
RAA20121210201212095315040420000３歳条件３　３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          ３歳条件３　３　　　３歳条件３　３歳条0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　125000002400    0000160000000320000001600000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,5,1,7,9,6,2,8,3                                                     204,5,1,7,6,9,8,2,3                                                     304,5,1,7,9,6,8,2,3                                                     404,(1,5),7,9,6,8,2,3                                                   0
RAA20121224201212235316040720000３歳条件４　４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          ３歳条件４　４　　　３歳条件４　３歳条0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　125000002400    0000160000000320000001600000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808082030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,4,6,3,8,5,7,1                                                       202,4,3,6,8,7,5,1                                                       302,4,3,6,8,1,7,5                                                       402,(3,4),(1,6),8,7,5                                                   0
RAA20121210201212095315040720000Ｂ３二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｂ３二　　　　　　　Ｂ３二　　　Ｂ３二0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　125000002400    0000160000000320000001600000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,9,2,10,6,(4,7),5,3,1                                                208,9,10,2,6,4,(5,7),3,1                                                30(8,9,10),2,4,7,5,6,3,1                                                40(8,10),2,7,(4,9),5,3,1,6                                              0
RAA20121217201212155316010610000Ｂ３二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｂ３二　　　　　　　Ｂ３二　　　Ｂ３二0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　125000002400    0000160000000320000001600000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808082020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,8,5,3,2,1,4,6                                                       207,8,5,3,2,4,6,1                                                       30(7,8),5,2,3,6,4,1                                                     40(7,8),2,6,5,3,4,1                                                     0
RAA20121202201212015315010910000なでしこベストセレクション２歳牝馬　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(TWO-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                                 なでしこベストセレクなでしこベスなでし0000E 110004000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000250000000500000002500000012000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,10,2,8,(3,4),7,1,5,6                                                20(9,10),2,8,4,3,7,1,6,5                                                30(9,10),(4,7),2,8,1,3,5,6                                              409,10,7,4,1,2,8,3,5,6                                                  0
RAA20121224201212235316040520000２歳１・２　１２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            ２歳１・２　１２　　２歳１・２　２歳１0000  110004000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　125000002400    0000220000000440000002200000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,8,9,5,1,4,3,6,10,7                                                  202,8,9,5,1,4,3,6,10,7                                                  302,8,5,9,1,4,3,6,10,7                                                  402,5,(1,8,9),3,4,10,6,7                                                0
RAA20121203201212025315020620000Ｂ３一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｂ３一　　　　　　　Ｂ３一　　　Ｂ３一0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000160000000320000001600000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010103020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,4,2,10,(6,8),(1,9),3,7                                              205,4,10,2,(6,8),1,9,3,7                                                305,4,2,10,6,8,1,9,7,3                                                  405,2,6,8,4,9,(1,10),7,3                                                0
RAA20121210201212085315030910000くわい特別Ｂ２二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          くわい特別Ｂ２二　　くわい特別Ｂくわい0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000160000000320000001600000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000908082020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,9,3,4,6,2,8,1                                                       205,3,9,4,6,2,8,1                                                       30(3,4,5),9,(2,6),8,1                                                   404,(3,5),9,2,8,6,1                                                     0
