RAA20121116201211153015060770000優駿ドリームゲート賞　Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     優駿ドリームゲート賞優駿ドリーム優駿ド0000  000004000000000000000サラ系一般　１２０万下　　　　　　　　　　　　　　　　　　　170000002400    0000200000000400000003000000020000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,5,9,3,7,11,8,(2,6,12),10,4                                          201,5,9,3,7,11,8,(2,12),6,10,4                                          30(1,5,9),(3,8),6,(7,11,12),10,2,4                                      40(5,9),1,(6,8),3,(11,12),7,(2,4,10)                                    0
RAA20121107201211063015011050000プレミアムアルコールフリー特別　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          プレミアムアルコールプレミアムアプレミ0000E 000002000000000000000サラ系一般　２００万下　　　　　　　　　　　　　　　　　　　120000002400    0000350000000700000005300000035000000170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909093030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000308,3,4,6,(2,5,9),7,1                                                   408,3,6,4,(5,9),2,7,1                                                   00                                                                      00                                                                      0
RAA20121107201211063015011150000麦とホップ特別　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          麦とホップ特別　Ｃ１麦とホップ特麦とホ0000E 000002000000000000000サラ系一般　２００万下　　　　　　　　　　　　　　　　　　　170000002400    0000350000000700000005300000035000000170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212123030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,(2,8),3,4,11,12,5,(6,10),(7,9)                                      201,2,8,3,4,11,12,5,10,6,9,7                                            302,8,3,1,4,(5,6),12,11,10,7,9                                          402,8,3,1,4,5,6,12,11,10,7,9                                            0
RAA20121108201211073015020860000３歳以上Ｃ４－４組　Ｃ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ３歳以上Ｃ４－４組　３歳以上Ｃ４３歳以0000  000004000000000000000サラ系一般　８０万下　　　　　　　　　　　　　　　　　　　　170000002400    000015000000024000000180000001200000006000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000080808304000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(1,5,6),(3,4,7),8,2                                                   20(1,6),5,(3,4),7,8,2                                                   306,(1,3,4,8),5,7,2                                                     406,1,(3,4,8),5,(2,7)                                                   0
RAA20121109201211083015030370000３歳以上Ｃ４－７組　Ｃ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ３歳以上Ｃ４－７組　３歳以上Ｃ４３歳以0000  000004000000000000000サラ系一般　８０万下　　　　　　　　　　　　　　　　　　　　100000002400    000015000000024000000180000001200000006000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111104000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(5,10),(2,3,11),4,7,(6,8),9,1                                         40(5,10),11,(2,3),4,7,6,(8,9),1                                         00                                                                      00                                                                      0
RAA20121114201211133015041150000大樹歴舟川特別　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          大樹歴舟川特別　Ｃ２大樹歴舟川特大樹歴0000E 000004000000000000000サラ系一般　１６０万下　　　　　　　　　　　　　　　　　　　170000002400    0000350000000700000005300000035000000170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808083040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,5,2,(4,8),(1,6),7                                                   203,5,2,4,8,6,1,7                                                       30(3,5,7),4,8,2,6,1                                                     40(3,5,7),4,8,6,2,1                                                     0
RAA20121115201211143015050560000３歳以上Ｃ４－１組　Ｃ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ３歳以上Ｃ４－１組　３歳以上Ｃ４３歳以0000  000004000000000000000サラ系一般　８０万下　　　　　　　　　　　　　　　　　　　　120000002400    00001500000002400000018000000120000000600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121220400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003012,3,8,(1,4,11),9,7,(6,10),5,2                                        4012,3,8,1,4,11,(7,9),6,10,(2,5)                                        00                                                                      00                                                                      0
RAA20121108201211073015020760000３歳以上Ｃ４－４組　Ｃ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ３歳以上Ｃ４－４組　３歳以上Ｃ４３歳以0000  000004000000000000000サラ系一般　８０万下　　　　　　　　　　　　　　　　　　　　120000002400    0000150000000240000001800000012000000060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111113040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000308,(10,11),9,3,(2,4),(1,5,6),7                                         408,11,10,9,3,2,6,4,1,7,5                                               00                                                                      00                                                                      0
RAA20121109201211083015030970000日高軽種馬農業協同組合特別　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          日高軽種馬農業協同組日高軽種馬農日高軽0000E 000004000000000000000サラ系一般　２００万下　　　　　　　　　　　　　　　　　　　120000002400    0000350000000700000005300000035000000170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000301,(2,3),7,4,(5,8,12),(9,11),10,6                                      401,(2,3),7,4,12,8,5,(9,11),10,6                                        00                                                                      00                                                                      0
RAA20121114201211133015040750000３歳以上Ｃ４－２組　Ｃ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ３歳以上Ｃ４－２組　３歳以上Ｃ４３歳以0000  000004000000000000000サラ系一般　８０万下　　　　　　　　　　　　　　　　　　　　170000002400    000015000000024000000180000001200000006000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000121212304000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(4,5),2,(3,10),(1,6,11),(7,9),(8,12)                                  204,5,(2,3),10,(1,6,11),9,7,(8,12)                                      304,(2,5,10),(3,11),1,6,(7,9),8,12                                      40(2,4),10,(3,5),(1,11),6,(7,8,9),12                                    0
RAA20121115201211143015050860000３歳以上Ｃ４－１組　Ｃ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ３歳以上Ｃ４－１組　３歳以上Ｃ４３歳以0000  000004000000000000000サラ系一般　８０万下　　　　　　　　　　　　　　　　　　　　170000002400    000015000000024000000180000001200000006000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000121212204000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(1,4,7,8),10,11,3,(5,12),2,9,6                                        201,4,(7,8),10,(3,11),(5,12),2,9,6                                      30(1,4,7),11,(3,8,10,12),(5,9),2,6                                      401,7,4,(3,11),10,12,5,(2,9),6,8                                        0
RAA20121108201211073015021160000釧路ししゃも特別　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          釧路ししゃも特別　Ｃ釧路ししゃも釧路し0000E 000004000000000000000サラ系一般　２００万下　　　　　　　　　　　　　　　　　　　170000002400    0000350000000700000005300000035000000170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212123040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,8,4,(1,7),(2,5,9),6,11,10,12                                        203,8,4,7,(1,2,5,9),(6,11),(10,12)                                      303,8,4,(7,9),5,(1,6,11),2,12,10                                        403,(4,8,9),(1,5,7),6,11,2,(10,12)                                      0
RAA20121114201211133015040950000胆振軽農協賞　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     胆振軽農協賞　Ｃ２　胆振軽農協賞胆振軽0000  000004000000000000000サラ系一般　１６０万下　　　　　　　　　　　　　　　　　　　120000002400    0000200000000400000003000000020000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212123040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000302,12,9,5,(6,8,11),(1,10),(4,7),3                                      402,12,9,5,(6,11),(1,8),4,(7,10),3                                      00                                                                      00                                                                      0
RAA20121108201211073015021060000室蘭うずらの卵特別　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          室蘭うずらの卵特別　室蘭うずらの室蘭う0000E 000004000000000000000サラ系一般　２００万下　　　　　　　　　　　　　　　　　　　120000002400    000035000000070000000530000003500000017000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000121212304000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(11,12),4,5,(2,7,10),6,9,8,1,3                                        40(11,12),4,(2,5),7,(6,10),9,8,1,3                                      00                                                                      00                                                                      0
RAA20121115201211143015050360000３歳以上Ｃ４－３組　Ｃ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ３歳以上Ｃ４－３組　３歳以上Ｃ４３歳以0000  000004000000000000000サラ系一般　８０万下　　　　　　　　　　　　　　　　　　　　100000002400    0000150000000240000001800000012000000060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306,(9,12),(3,5,11),10,4,7,8,2,1                                        406,(9,12),(3,5),11,10,4,(7,8),2,1                                      00                                                                      00                                                                      0
RAA20121116201211153015060370000３歳以上Ｃ３－２組　Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ３歳以上Ｃ３－２組　３歳以上Ｃ３３歳以0000  000004000000000000000サラ系一般　１２０万下　　　　　　　　　　　　　　　　　　　120000002400    0000200000000400000003000000020000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000301,(5,6),10,11,2,7,(8,12),4,9,3                                        401,(5,6),10,11,2,(7,12),8,4,9,3                                        00                                                                      00                                                                      0
RAA20121102201211013014061170000ディープインパクト・プレミアム　一般　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP OP)                                                                                                                                                                                                                                                                                                                                       ディープインパクト・ディープインディー0000E 000002000000000000000サラ系一般　ＯＰ　　　　　　　　　　　　　　　　　　　　　　120000002400    000100000000160000001200000008000000040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000090909304000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(1,2),5,(3,9),4,8,7,6                                                 402,5,1,9,3,(4,7),8,6                                                   00                                                                      00                                                                      0
RAA20121116201211153015061070000グランシャリオナイター特別　Ａ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          グランシャリオナイタグランシャリグラン0000E 000002000000000000000サラ系一般　８００万下　　　　　　　　　　　　　　　　　　　120000002400    0000600000001200000009000000060000000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110101030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000307,5,2,11,6,(3,9),4,(1,8)                                              407,5,2,11,3,(1,4,6,9),8                                                00                                                                      00                                                                      0
