RAA20120912201209064507010770000セプテンバーフラワー賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               セプテンバーフラワーセプテンバーセプテ0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0002500000007500000050000000300000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111113020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,10,9,8,7,3,1,5,4,11,2                                               206,9,8,10,7,1,3,5,4,2,11                                               306,9,1,10,(3,8),5,7,2,4,11                                             406,(1,5,9),3,8,4,2,10,7,11                                             0
RAA20120912201209064507010870000サファイアスター賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          サファイアスター賞（サファイアスサファ0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0004000000012000000080000000480000003200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414143020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,5,13,4,11,14,2,1,9,3,7,10,8,12                                      206,5,13,4,11,14,2,1,9,7,10,3,8,12                                      3014,6,5,13,1,11,4,10,(2,3,9),7,8,12                                    40(6,14),5,(1,13),11,4,10,2,7,9,8,3,12                                  0
RAA20120911201209104507030840000銀河特別　Ｃ２一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          銀河特別　Ｃ２一　　銀河特別　Ｃ銀河特0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0001700000005100000034000000204000001360000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,5,14,2,8,1,7,9,6,11,3,10,12,13                                      204,14,5,2,8,1,9,7,6,3,11,10,12,13                                      304,(5,9,14),2,(7,8),1,3,6,(10,12),11,13                                40(4,5),9,14,2,1,8,7,(3,6,10),12,11,13                                  0
RAA20120912201209114507040850000若武者賞（中央認定）　１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(TWO-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                                 若武者賞（中央認定）若武者賞（中若武者0000E 110000000000000000000サラ系２歳　１０２万上　　　　　　　　　　　　　　　　　　　150000002300    0002700000008100000054000000324000002160000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,3,5,(1,2),9,4,7,6,10                                                208,3,5,1,2,(7,9),4,10,6                                                30(3,8),5,2,1,7,4,10,9,6                                                40(3,5),8,2,1,7,4,10,9,6                                                0
RAA20120911201209104507031040000紫苑特別　Ｃ１一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          紫苑特別　Ｃ１一　　紫苑特別　Ｃ紫苑特0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0002000000006000000040000000240000001600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,4,9,5,7,1,2,8,10,6                                                  203,4,9,5,7,1,2,8,10,6                                                  30(3,4,9),5,1,7,(2,8),10,6                                              403,4,9,5,1,8,6,7,2,10                                                  0
RAA20120911201209104507030340000サラ系３歳　７　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　７　　　サラ系３歳　サラ系0000  120000000000000000000４９万未満　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,2,8,1,4,3,7,10,6,5                                                  209,1,2,4,8,3,(6,7,10),5                                                30(1,3),9,2,4,8,10,7,6                                                  401,3,10,8,4,(2,9),6,7                                                  0
RAA20120912201209114507040750000特選　Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     特選　Ｃ３　　　　　特選　Ｃ３　特選　0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0000900000002700000016200000108000000900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313131010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,6,8,3,(9,12,13),1,11,7,4,2,10                                       205,6,8,3,9,12,(1,7),11,13,4,2,10                                       305,8,6,9,(3,7,11),(1,12),2,4,10,13                                     405,(6,8),9,7,(3,11),(1,4,12),2,10,13                                   0
RAA20120908201209074507020980000柏尾川特別　１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               柏尾川特別　１　　　柏尾川特別　柏尾川0000E 120000000000000000000サラ系３歳　２６７万上　　　　　　　　　　　　　　　　　　　150000002300    0001800000005400000036000000216000001440000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,8,14,1,5,6,4,9,7,13,10,11,3,12                                      202,8,14,1,5,6,4,9,13,7,10,11,3,12                                      30(2,8),14,1,6,4,9,11,5,10,13,12,7,3                                    40(2,8),6,1,14,9,(5,10),4,11,13,12,3,7                                  0
RAA20120908201209074507021080000戸塚記念　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOTSUKA KINEN                                                                                                                                                                                                                                                                                                                                                           戸塚記念　　　　　　戸塚記念　　戸塚記0000D 120002000000000000000サラ系３歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　210000002300    0020000000070000000400000002000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001413131010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,5,7,9,(2,8),14,(11,13),12,4,3,1                                     206,5,7,(2,8,9),11,13,14,(4,12),3,1                                     306,(5,7),8,13,9,11,14,4,12,3,2,1                                       406,8,5,7,13,11,9,14,12,4,3,2,1                                         0
RAA20120911201209104507030240000新馬　６イ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            新馬　６イ　　　　　新馬　６イ　新馬　0000  110000000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    00025000000075000000450000003000000025000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010101010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,2,3,1,7,8,4,6,5,9                                                  2010,2,3,1,(7,8),4,6,5,9                                                3010,2,3,1,8,6,(4,7),9,5                                                4010,2,3,1,8,6,7,4,9,5                                                  0
