RAA20121010201210094206011050000マルチグレート特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          マルチグレート特別（マルチグレーマルチ0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0004000000012000000068000000520000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,5,8,1,2,10,3,9,12,7,6,11                                            204,5,8,1,2,10,3,9,12,6,11,7                                            308,5,4,2,1,9,10,3,6,11,12,7                                            408,2,1,5,10,9,3,4,6,12,11,7                                            0
RAA20121011201210104206020960000秋麗特別　Ｃ２一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          秋麗特別　Ｃ２一　　秋麗特別　Ｃ秋麗特0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001600000004800000027200000208000001600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111112010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,6,3,1,2,5,8,10,7,11,4                                               209,6,3,1,2,5,8,10,7,11,4                                               309,6,1,5,2,3,8,11,10,7,4                                               406,9,1,5,2,8,10,3,11,7,4                                               0
RAA20121012201210114206030770000サラ系一般　Ｃ２四五　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２四五サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001000000003000000017000000130000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,6,4,3,5,11,2,7,10,9,8                                               201,(3,6),4,5,2,11,7,10,9,8                                             301,4,6,3,2,5,11,10,9,7,8                                               401,4,3,2,6,11,10,5,8,9,7                                               0
RAA20121013201210124206040680000サラ系一般　Ｃ２六七　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２六七サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0001000000003000000017000000130000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,7,10,3,12,5,9,11,2,4,1,6                                            208,10,7,12,3,(5,9),11,2,1,4,6                                          308,2,12,10,11,9,5,1,3,7,6,4                                            408,12,2,10,5,3,9,1,11,4,6,7                                            0
RAA20121012201210114206030470000サラ系一般　Ｃ３三四　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３三四サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    00008000000024000000136000001040000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121220100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011,7,2,12,5,9,3,10,1,4,8,6                                            2011,2,7,5,12,9,3,1,10,4,8,6                                            3011,2,7,5,12,9,3,1,10,4,8,6                                            4011,5,7,9,12,4,1,2,6,3,10,8                                            0
RAA20121011201210104206021160000埼玉新聞栄冠賞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　SAITAMASHINBUN EIKAN SHO                                                                                                                                                                                                                                                                                                                                                埼玉新聞栄冠賞　　　埼玉新聞栄冠埼玉新0000D 130002000000000000000サラ系３歳上　ＯＰ　　　　　　　　　　　　　　　　　　　　　190000002300    0012000000042000000240000001200000006000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111112010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,5,9,6,3,2,4,11,7,10,8                                               201,5,9,6,3,2,4,7,11,10,8                                               301,6,9,5,3,2,4,7,10,8,11                                               406,1,3,9,4,2,7,5,10,8,11                                               0
RAA20121010201210094206010550000サラ系一般　Ｃ２三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２三　サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0001000000003000000017000000130000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,10,11,1,12,7,4,5,9,2,8,6                                            203,10,1,11,12,7,4,5,2,9,8,6                                            303,10,1,11,12,7,4,5,2,9,6,8                                            403,10,1,12,4,11,(5,7),2,9,6,8                                          0
RAA20121012201210114206030970000特選　Ｃ１三四　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     特選　Ｃ１三四　　　特選　Ｃ１三特選　0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0001200000003600000020400000156000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,2,12,6,9,8,10,5,11,4,1,7                                            203,2,12,6,8,9,5,10,1,4,11,7                                            303,2,12,6,8,5,10,9,4,1,11,7                                            403,2,6,8,12,5,10,9,4,1,11,7                                            0
RAA20121011201210104206021260000錦秋特別　Ｂ３一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          錦秋特別　Ｂ３一　　錦秋特別　Ｂ錦秋特0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0002200000006600000037400000286000002200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111112010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,10,5,7,11,3,4,9,8,6,2                                               201,10,7,5,11,4,3,9,8,6,2                                               301,10,7,5,4,11,(6,9),3,8,2                                             401,4,10,5,6,9,7,3,11,8,2                                               0
RAA20121011201210104206020360000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　　　　　サラ系３歳　サラ系0000  120000000000000000000８９万上１２０万未満　　　　　　　　　　　　　　　　　　　　130000002300    0001000000003000000017000000130000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,10,3,7,8,5,9,11,6,2,1                                               204,10,3,7,8,11,5,9,6,2,1                                               3010,7,4,6,8,3,11,5,9,2,1                                               406,10,7,8,3,11,5,9,2,4,1                                               0
