RAA20121017201210163013040450000３歳以上Ｃ４－２組　Ｃ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ３歳以上Ｃ４－２組　３歳以上Ｃ４３歳以0000  000004000000000000000サラ系一般　８０万下　　　　　　　　　　　　　　　　　　　　170000002400    0000150000000240000001800000012000000060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,7,(8,11),4,2,9,10,3,6,1                                             2011,(5,7),8,(2,4),9,10,3,(1,6)                                         30(4,8),9,7,5,2,10,3,11,(1,6)                                           408,4,(5,9),10,7,(2,3),6,1,11                                           0
RAA20121018201210173013050960000３歳以上Ｃ３－１組　Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ３歳以上Ｃ３－１組　３歳以上Ｃ３３歳以0000  000004000000000000000サラ系一般　１２０万下　　　　　　　　　　　　　　　　　　　120000002400    0000200000000400000003000000020000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111113030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000303,5,4,9,(7,8),(1,10),6,2,11                                           403,5,4,9,(7,8),10,1,6,(2,11)                                           00                                                                      00                                                                      0
RAA20121019201210183013060670000３歳以上Ｃ４－１組　Ｃ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ３歳以上Ｃ４－１組　３歳以上Ｃ４３歳以0000  000004000000000000000サラ系一般　８０万下　　　　　　　　　　　　　　　　　　　　120000002400    000015000000024000000180000001200000006000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111103000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(9,11),10,6,(3,5,7),4,2,1,8                                           40(9,11),10,6,5,3,7,4,2,1,8                                             00                                                                      00                                                                      0
RAA20121026201210253014030770000蠍座特別　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(TWO-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                                 蠍座特別　　　　　　蠍座特別　　蠍座特0000E 110004000000000000000サラ系２歳　１００万下　　　　　　　　　　　　　　　　　　　170000002400    0000550000001100000008300000055000000270000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000807073020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,8,(1,4),(5,7),2                                                     206,8,1,4,(5,7),2                                                       30(6,8),1,(5,7),4,2                                                     406,8,1,(5,7),4,2                                                       0
RAA20121031201210303014040950000ホテル四季の風賞　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ホテル四季の風賞　Ｃホテル四季のホテル0000  000004000000000000000サラ系一般　１６０万下　　　　　　　　　　　　　　　　　　　120000002400    0000200000000400000003000000020000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000301,(4,8),2,3,9,7,6,5                                                   401,2,8,(3,4),(7,9),(5,6)                                               00                                                                      00                                                                      0
RAA20121005201210043012061070000ウィナーズＣｈ（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(TWO-YEAR-OLD OP)                                                                                                                                                                                                                                                                                                                                              ウィナーズＣｈ（中央ウィナーズＣウィナ0000E 110002000000000000000サラ系２歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　120000002400    0002000000004000000030000000200000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000302,7,(1,12),5,11,6,(3,9),(4,8,14),10,13                                402,7,1,12,11,5,(4,6),3,(9,14),8,10,13                                  00                                                                      00                                                                      0
RAA20121011201210103013020760000３歳以上Ｃ４－７組　Ｃ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ３歳以上Ｃ４－７組　３歳以上Ｃ４３歳以0000  000004000000000000000サラ系一般　８０万下　　　　　　　　　　　　　　　　　　　　120000002400    000015000000024000000180000001200000006000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101010201000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(7,8),10,2,1,5,(3,9),6,4                                              408,(2,7),10,1,3,(5,6),(4,9)                                            00                                                                      00                                                                      0
RAA20121011201210103013020960000てんびん座特別　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(TWO-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                                 てんびん座特別　　　てんびん座特てんび0000E 110004000000000000000サラ系２歳　１００万下　　　　　　　　　　　　　　　　　　　120000002400    000055000000110000000830000005500000027000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000070707201000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(1,6),(2,4,5,7),3                                                     40(1,6),(2,3,4,5,7)                                                     00                                                                      00                                                                      0
RAA20121011201210103013021160000苫小牧産ホッキ貝特別　Ｂ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          苫小牧産ホッキ貝特別苫小牧産ホッ苫小牧0000E 000002000000000000000サラ系一般　３００万下　　　　　　　　　　　　　　　　　　　170000002400    000040000000080000000600000004000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000090909201000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(1,3),7,(4,5,9),2,6,8                                                 201,(2,3),4,(5,7),9,6,8                                                 301,3,(2,4,5,7),(8,9),6                                                 401,3,4,(5,7),(8,9),2,6                                                 0
RAA20121012201210113013030170000３歳以上Ｃ４－７組　Ｃ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ３歳以上Ｃ４－７組　３歳以上Ｃ４３歳以0000  000004000000000000000サラ系一般　８０万下　　　　　　　　　　　　　　　　　　　　100000002400    0000150000000240000001800000012000000060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001009093040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000305,1,(7,8),(2,3,6,10),4                                                405,(7,8),1,(6,10),3,2,4                                                00                                                                      00                                                                      0
RAA20121012201210113013030770000３歳以上Ｃ４－４組　Ｃ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ３歳以上Ｃ４－４組　３歳以上Ｃ４３歳以0000  000004000000000000000サラ系一般　８０万下　　　　　　　　　　　　　　　　　　　　120000002400    0000150000000240000001800000012000000060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212123040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000309,7,(4,12),8,2,(1,5),(6,11),10,3                                      409,7,4,(8,12),2,5,(1,6),11,10,3                                        00                                                                      00                                                                      0
RAA20121017201210163013041050000岩手山特別　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(TWO-YEAR-OLD OP)                                                                                                                                                                                                                                                                                                                                              岩手山特別　　　　　岩手山特別　岩手山0000E 110004000000000000000サラ系２歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　120000002400    0001500000003000000022500000150000000750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000301,(2,3,9),(4,6,8,10),5,7                                              401,2,3,(4,9),8,6,10,5,7                                                00                                                                      00                                                                      0
RAA20121018201210173013050260000３歳以上Ｃ４－５組　Ｃ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ３歳以上Ｃ４－５組　３歳以上Ｃ４３歳以0000  000004000000000000000サラ系一般　８０万下　　　　　　　　　　　　　　　　　　　　120000002400    000015000000024000000180000001200000006000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000121212301000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(1,2),12,(3,5,11),9,(4,10),(6,8),7                                    40(1,2),12,3,(5,9),4,11,10,(6,7,8)                                      00                                                                      00                                                                      0
