RAA20180516201805154502020950000エメラルドフラワー賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               エメラルドフラワー賞エメラルドフエメラ0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0002500000010000000062500000375000002500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,10,7,6,8,3,1,5,4,2                                                  209,10,7,6,8,3,1,5,4,2                                                  309,10,7,8,(3,5,6),1,4,2                                                409,10,7,8,(3,6),1,5,4,2                                                0
RAA20180517201805164502030960000メイフラワー賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               メイフラワー賞（中央メイフラワーメイフ0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0002500000010000000062500000375000002500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,11,(3,14),4,2,6,1,8,13,5,12,9,10                                    207,11,3,14,2,4,1,6,8,13,5,12,9,10                                      307,11,6,3,1,2,8,4,13,12,5,9,14,10                                      407,6,3,11,(1,8),13,5,2,12,9,4,10,14                                    0
RAA20180517201805164502031060000メイスター賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          メイスター賞（中央交メイスター賞メイス0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0004000000016000000100000000600000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,14,6,2,10,3,(1,7),11,12,9,4,5,13                                    208,14,2,6,10,3,7,1,11,12,9,4,5,13                                      30(7,14),6,8,(2,10),(3,11),(1,12),4,9,5,13                              4014,7,6,(2,8,10),11,3,1,12,4,9,5,13                                    0
RAA20180515201805144502010440000國本克典Ｇ６０記念　４ロ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          國本克典Ｇ６０記念　國本克典Ｇ６國本克0000  120000000000000000000サラ系３歳　１７４万上２４５万未満　　　　　　　　　　　　　150000002300    0001200000004560000030000000180000001440000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,3,9,2,(1,5),8,10,4,6,11                                             207,3,9,2,5,1,8,10,6,4,11                                               307,3,2,9,5,1,(8,10),4,6,11                                             407,3,2,9,5,1,10,4,11,6,8                                               0
RAA20180518201805174502040770000サラ系一般　Ｃ１四五　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１四五サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0001200000004560000030000000180000001440000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,7,12,5,9,1,11,10,4,8,2,3                                            206,7,5,12,1,9,11,4,10,8,2,3                                            306,7,12,5,(10,11),4,1,(2,8,9),3                                        406,5,7,11,12,4,10,(1,8),2,3,9                                          0
RAA20180518201805174502040570000稲光賞　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     稲光賞　Ｃ２　　　　稲光賞　Ｃ２稲光賞0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　090000002300    0001100000004180000027500000165000001320000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000208,3,(1,7),9,2,5,12,11,4,10,6                                          30(3,8),1,7,12,2,9,11,5,6,10,4                                          401,3,8,7,2,12,9,5,11,6,4,10                                            00                                                                      0
RAA20180516201805154502020550000サラ系一般　Ｃ２五六七　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２五六サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0001000000003800000025000000150000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,12,2,9,6,5,1,10,8,4,3,11                                            207,12,2,9,6,5,8,10,1,4,3,11                                            307,12,2,9,8,5,1,10,6,4,3,11                                            407,(2,12),5,9,8,1,10,4,6,3,11                                          0
