RAA20180404201804034501020950000ダイヤモンドフラワー賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               ダイヤモンドフラワーダイヤモンドダイヤ0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0002500000010000000062500000375000002500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,3,8,2,9,7,5,12,6,10,11,4                                            201,3,8,2,7,9,5,12,6,10,11,4                                            301,3,8,9,7,2,12,5,6,10,11,4                                            401,(3,9),8,2,(5,7,12),6,11,10,4                                        0
RAA20180404201804034501021150000スパーキングナイトＣｈ（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　OPEN(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                               スパーキングナイトＣスパーキングスパー0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0008000000028000000160000001200000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,10,13,2,9,14,1,4,3,6,7,12,8,11                                      205,10,13,2,9,1,4,14,3,6,7,12,8,11                                      305,10,(2,13),1,9,(3,4),6,7,12,14,8,11                                  405,2,10,13,3,1,9,(4,7),12,(6,8),11,14                                  0
RAA20180405201804044501030960000エイプリルフラワー賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               エイプリルフラワー賞エイプリルフエイプ0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0002500000010000000062500000375000002500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001312121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,5,12,13,(1,11),7,(6,9),2,10,3                                       204,5,12,1,11,13,7,6,9,2,10,3                                           304,5,12,1,11,7,13,9,6,2,10,3                                           404,5,1,12,11,7,9,13,6,2,10,3                                           0
RAA20180406201804054501041270000ソメイヨシノ特別　Ｃ２一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          ソメイヨシノ特別　Ｃソメイヨシノソメイ0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001700000006800000042500000255000001700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414142010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,9,12,10,5,14,11,3,6,7,4,13,2,8                                      201,9,12,10,14,5,11,3,6,7,4,2,13,8                                      30(1,12),9,14,10,5,11,3,7,13,6,4,8,2                                    401,(10,12),9,14,5,11,3,7,13,6,4,2,8                                    0
RAA20180403201804024501011240000葉山マリーナ「ベイクルーズ葉山」新艇杯　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          葉山マリーナ「ベイク葉山マリーナ葉山マ0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    00017000000068000000425000002550000017000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014141410100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,11,13,2,3,8,4,9,7,14,5,6,12,1                                      2010,11,13,2,8,4,3,7,5,9,14,6,12,1                                      3010,11,13,2,(4,7,8),3,(5,6),9,14,12,1                                  4010,11,2,4,13,7,6,12,8,1,5,9,3,14                                      0
RAA20180404201804034501020750000サラ系一般　Ｃ１六七　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１六七サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0001200000004560000030000000180000001440000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,4,8,1,5,6,10,9,12,7,11,3                                            202,4,8,1,5,6,10,9,12,7,11,3                                            302,4,(1,8),5,6,10,9,7,12,3,11                                          402,1,4,6,5,9,8,10,12,7,3,11                                            0
RAA20180407201804064501050780000山吹特別　２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               山吹特別　２　　　　山吹特別　２山吹特0000E 120000000000000000000サラ系３歳　２４０万上２９０万未満　　　　　　　　　　　　　140000002300    0002000000008000000050000000300000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212123010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,7,12,3,9,10,8,4,11,2,6,1                                            205,7,12,3,10,9,4,8,2,11,6,1                                            305,7,12,3,(4,10),2,(8,9,11),6,1                                        405,3,7,4,12,10,2,11,8,6,1,9                                            0
RAA20180403201804024501010740000駅を便利に京急ステーションコマース杯　Ｃ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     駅を便利に京急ステー駅を便利に京駅を便0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0001000000003800000025000000150000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,10,(3,8),7,4,1,6,11,5,9                                             202,10,3,8,7,1,4,6,(5,9),11                                             302,10,(4,8),7,3,(1,6),5,9,11                                           402,10,7,4,3,1,8,5,9,6,11                                               0
RAA20180405201804044501030360000サラ系一般　Ｃ２六七八　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２六七サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0001000000003800000025000000150000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,4,2,8,1,12,5,(6,7),10,3,11                                          209,4,2,8,12,1,5,7,6,(3,10),11                                          309,4,8,2,1,12,7,5,6,10,3,11                                            409,4,2,8,12,7,1,5,6,3,10,11                                            0
RAA20180404201804034501020150000サラ系３歳　６　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　６　　　サラ系３歳　サラ系0000  120000000000000000000６５万上１１７万未満　　　　　　　　　　　　　　　　　　　　140000002300    0001200000004560000030000000180000001440000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,12,9,4,8,7,11,6,2,3,5,10                                            201,12,9,4,8,7,6,11,2,3,5,10                                            301,9,12,4,(7,8),6,2,11,5,(3,10)                                        40(1,9),4,(7,12),(6,8),2,5,3,10,11                                      0
