RAA20180712201807114407031160000ジャパンＤダービー（中央交流）　Ｊｐｎ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　JAPAN DIRT DERBY                                                                                                                                                                                                                                                                                                                                                        ジャパンＤダービー（ジャパンＤダジャパ0000A 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　200000002400    0045000000157500000900000004500000022500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,10,2,12,11,14,3,8,4,5,13,1,7,6                                      209,10,2,12,11,14,3,4,8,5,13,1,6,7                                      309,10,12,2,14,3,8,4,1,11,5,13,7,6                                      409,10,2,12,14,4,(3,8),1,5,11,13,6,7                                    0
RAA20180801201807314408020850000フォーチュネイトひまわり特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               フォーチュネイトひまフォーチュネフォー0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    00028000000112000000700000004200000028000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013131310200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003010,2,4,12,3,9,8,1,11,6,7,5,13                                         4010,4,12,2,9,3,8,6,11,1,7,5,13                                         00                                                                      00                                                                      0
RAA20180801201807314408021050000アーバンステージ文月賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          アーバンステージ文月アーバンステアーバ0000E 130002000000000000000サラ系３歳上　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0004300000017200000107500000645000004300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001616161020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000303,(4,10),16,2,15,9,13,12,1,5,11,6,8,14,7                              403,10,4,16,2,15,9,12,13,11,1,5,8,6,7,14                                00                                                                      00                                                                      0
