RAA20180613201806124503020950000ジューンフラワー賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               ジューンフラワー賞（ジューンフラジュー0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    00025000000100000000625000003750000025000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014131310300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001014,6,11,2,4,10,13,3,12,8,9,1,5                                        2014,6,2,11,4,10,13,3,8,12,9,1,5                                        3014,6,11,2,4,13,8,3,10,9,12,1,5                                        40(6,14),11,2,13,4,10,3,1,8,5,9,12                                      0
RAA20180613201806124503021050000ジューンスター賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          ジューンスター賞（中ジューンスタジュー0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    00040000000160000001000000006000000040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014141410300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001012,14,(6,8),7,13,3,11,4,1,10,9,2,5                                    2012,14,6,8,7,13,3,11,4,2,1,10,9,5                                      30(12,14),11,2,6,8,7,3,13,4,1,9,5,10                                    4012,11,14,2,3,6,7,4,1,9,8,5,13,10                                      0
RAA20180614201806134503030960000ムーンストーンフラワー賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               ムーンストーンフラワムーンストームーン0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0002500000010000000062500000375000002500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,(6,10),9,11,7,4,2,5,3,8,12                                          201,10,6,9,7,11,4,2,5,3,8,12                                            3010,1,7,11,9,3,(2,6),4,8,5,12                                          40(1,10),7,9,11,2,3,8,12,6,4,5                                          0
RAA20180614201806134503031160000関東オークス（中央交流）　Ｊｐｎ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　KANTO OAKS                                                                                                                                                                                                                                                                                                                                                              関東オークス（中央交関東オークス関東オ0000B 120004000000000000000サラ系３歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　210000002300    0032000000112000000640000003200000016000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313131020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,4,2,6,13,5,(8,9),(10,11),7,1,12                                     203,4,2,6,13,5,9,8,10,11,7,1,12                                         303,4,2,6,13,5,(8,9),10,11,7,1,12                                       40(3,6),5,(4,13),2,9,8,10,11,7,12,1                                     0
RAA20180614201806134503030560000引退馬協会設立２０周年記念　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     引退馬協会設立２０周引退馬協会設引退馬0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　090000002300    000110000000418000002750000016500000132000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111102000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020(6,7,11),2,10,3,4,1,8,5,9                                             306,11,7,(2,10),3,(1,4),9,8,5                                           406,(7,11),10,(2,3),1,8,4,(5,9)                                         00                                                                      0
RAA20180612201806114503010740000まつのやま６周年おめでとう記念　Ｃ１七八　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     まつのやま６周年おめまつのやま６まつの0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0001200000004560000030000000180000001440000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212123040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,5,10,4,2,9,7,8,12,11,6,1                                            203,5,10,4,9,2,7,8,(11,12),(1,6)                                        303,5,10,(4,8),7,(9,12),11,2,1,6                                        403,5,(4,10),(7,8),9,(11,12),1,(2,6)                                    0
